Series;Product Image;Type;Description;Technology;Resistance (min)(Ω);Resistance (max)(Ω);TCR Absolute(ppm/°C);TCR Tracking(ppm/°C);Absolute Tolerance(%);Ratio Tolerance(%);Power(W);Package Type;Case (EIA & Mil);Image path;Datasheet part;3d model part
Custom Networks;Enlarge;Resistor Networks;Custom Thick Film Networks, Quadpack, Surface Mount;Thick Film;;;;;;;;;;image/networks-and-arrays/68006.png;Datasheet\/networks-and-arrays/Custom Networks\Custom Networks.pdf;
Custom Networks;Enlarge;Resistor Networks;Custom Thick Film Resistor Networks, Single-In-Line (Molded or Conformal Coated SIPs) and Dual-In-Line (Molded DIPs);Thick Film;1;50 M;100.0;;0.5;;0.125;SIP;;image/networks-and-arrays/68009.png;Datasheet\/networks-and-arrays/Custom Networks\Custom Networks.pdf;
