Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-90-110MT.KPbF Series;Enlarge;90.0;90.0;1400;1500;770;810;1.6 at 150;150;1.26;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;90.0;90.0;1000;1100;770;810;1.6 at 150;150;1.26;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;110.0;90.0;1400;1500;950;1000;1.4 at 150;150;1.07;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;110.0;90.0;1000;1100;950;1000;1.4 at 150;150;1.07;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;90.0;90.0;1600;1700;770;810;1.6 at 150;150;1.26;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;90.0;90.0;1200;1300;770;810;1.6 at 150;150;1.26;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;110.0;90.0;1600;1700;950;1000;1.4 at 150;150;1.07;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;90.0;90.0;800;900;770;810;1.6 at 150;150;1.26;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;110.0;90.0;1200;1300;950;1000;1.4 at 150;150;1.07;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
VS-90-110MT.KPbF Series;Enlarge;110.0;90.0;800;900;950;1000;1.4 at 150;150;1.07;MTK;Three phase bridge;image/modules\94352.png;Datasheet\modules\VS-90-110MT.KPbF Series\VS-90-110MT.KPbF Series.pdf;
