Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;10 pF;220 pF;C0G (NP0) (X1 / Y2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;10 pF;390 pF;C0G (NP0) (X2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;47 pF;1 nF;C0G (NP0) (X1 / Y2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;100 pF;1 nF;X7R (X1 / Y2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;100 pF;2.7 nF;X7R (X2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;270 pF;4.7 nF;X7R (X1 / Y2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250.0;270 pF;12 nF;X7R (X2);image\capacitors\45255.png;Datasheet\capacitors\VJ Safety Certified Capacitors\VJ Safety Certified Capacitors.pdf;
