Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;82 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;5.6 µF;15.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;5.6 µF;50.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;18 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;270 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;47 µF;35.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;10 µF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;47 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;8.2 µF;35.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;270 µF;15.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;6.8 µF;50.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;680 µF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;100 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;33 µF;15.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;22 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;390 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;56 µF;35.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;12 µF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;56 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;10 µF;35.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;330 µF;15.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
