Part Number;Product Image;Data Rate(MBd);Package;CTR min.(%);tPLHtyp.(µs);tPHLtyp.(µs);Pulse Width Distortion PWD(ns);CMTI min.(V/μs);Operating Temperature(°C);Channel(s);Isolation VoltageVISO(VRMS);Safety Standard(s);Image path;Datasheet part;3d model part
VOW135, VOW136;Enlarge;1.0;DIP-8, 400 mil;19.0;0.6;0.2;;1000.0;-40 to +100;Single;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers\84156.png;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.pdf;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.zip
VOW135, VOW136;Enlarge;1.0;SMD-8, 400 mil;19.0;0.6;0.2;;1000.0;-40 to +100;Single;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers\84156.png;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.pdf;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.zip
