Part Number;Product Image;Package;Output;Load voltage (max.)(V);Load current (max.)(mA);I Fon (max.)(mA);R ON (max.)(Ω);R OFF (typ.)(GΩ);Turn-on time max.(ms);Turn-off time max.(ms);VISOmax.VRMS(V);Safety Standard;Image path;Datasheet part;3d model part
LH1540AAB, LH1540AABTR, LH1540AT;Enlarge;SMD-6, DIP-6;1 Form A;350;250;2;27;5000;2;2;5300;UL, cUL, VDE, FIMKO;image/solid-state-relays/83833.png;Datasheet\/solid-state-relays/LH1540AAB, LH1540AABTR, LH1540AT\LH1540AAB, LH1540AABTR, LH1540AT.pdf;Datasheet\/solid-state-relays/LH1540AAB, LH1540AABTR, LH1540AT\LH1540AAB, LH1540AABTR, LH1540AT.zip
LH1546ADF, LH1546ADFTR;Enlarge;SMD-4;1 Form A;350;120;2;35;5000;3;3;5300;UL, cUL, VDE;image/solid-state-relays/83836.png;Datasheet\/solid-state-relays/LH1546ADF, LH1546ADFTR\LH1546ADF, LH1546ADFTR.pdf;Datasheet\/solid-state-relays/LH1546ADF, LH1546ADFTR\LH1546ADF, LH1546ADFTR.zip
LH1546AEF, LH1546AEFTR;Enlarge;SOP-4;1 Form A;350;120;2;27;850;3;3;3750;UL, cUL, BSI, FIMKO;image/solid-state-relays/83837.png;Datasheet\/solid-state-relays/LH1546AEF, LH1546AEFTR\LH1546AEF, LH1546AEFTR.pdf;Datasheet\/solid-state-relays/LH1546AEF, LH1546AEFTR\LH1546AEF, LH1546AEFTR.zip
LH1546AT, LH1546AABTR;Enlarge;SMD-6, DIP-6;1 Form A;350;200;2;35;5000;3;3;5300;UL, cUL, BSI, FIMKO;image/solid-state-relays/83838.png;Datasheet\/solid-state-relays/LH1546AT, LH1546AABTR\LH1546AT, LH1546AABTR.pdf;Datasheet\/solid-state-relays/LH1546AT, LH1546AABTR\LH1546AT, LH1546AABTR.zip
VO1263AAC, VO1263AACTR, VO1263AB;Enlarge;SMD-8, DIP-8;MOSFET Driver;;;;;;;;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/solid-state-relays/84639.png;Datasheet\/solid-state-relays/VO1263AAC, VO1263AACTR, VO1263AB\VO1263AAC, VO1263AACTR, VO1263AB.pdf;Datasheet\/solid-state-relays/VO1263AAC, VO1263AACTR, VO1263AB\VO1263AAC, VO1263AACTR, VO1263AB.zip
VO1400AEF;Enlarge;SOP-4;1 Form A;60;100;3.2;5;n/a;0.5;0.5;3750;UL, cUL, VDE, FIMKO;image/solid-state-relays/84724.png;Datasheet\/solid-state-relays/VO1400AEF\VO1400AEF.pdf;Datasheet\/solid-state-relays/VO1400AEF\VO1400AEF.zip
VO14642AT, VO14642AABTR;Enlarge;SMD-6, DIP-6;1 Form A;60;2000;2;0.25;n/a;0.8;0.8;5300;UL, cUL, VDE, FIMKO;image/solid-state-relays/81646.png;Datasheet\/solid-state-relays/VO14642AT, VO14642AABTR\VO14642AT, VO14642AABTR.pdf;Datasheet\/solid-state-relays/VO14642AT, VO14642AABTR\VO14642AT, VO14642AABTR.zip
VOM1271;Enlarge;SOP-4;MOSFET Driver;;;;;;;;3750;UL, cUL, FIMKO;image/solid-state-relays/83469.png;Datasheet\/solid-state-relays/VOM1271\VOM1271.pdf;Datasheet\/solid-state-relays/VOM1271\VOM1271.zip
VOR1121A6, VOR1121B6;Enlarge;SMD-6, DIP-6;1 Form A;250;370;2;15;5000;0.5;0.2;5300;UL, cUL, VDE;image/solid-state-relays/84298.png;Datasheet\/solid-state-relays/VOR1121A6, VOR1121B6\VOR1121A6, VOR1121B6.pdf;None
VOR1142B4;Enlarge;SMD-4;1 Form A;400;140;2;27;5000;0.5;0.2;5300;UL, cUL, VDE;image/solid-state-relays/84299.png;Datasheet\/solid-state-relays/VOR1142B4\VOR1142B4.pdf;Datasheet\/solid-state-relays/VOR1142B4\VOR1142B4.zip
VOR1142B6, VOR1142A6;Enlarge;SMD-6, DIP-6;1 Form A;400;270;2;27;5000;0.5;0.2;5300;UL, cUL, VDE;image/solid-state-relays/84300.png;Datasheet\/solid-state-relays/VOR1142B6, VOR1142A6\VOR1142B6, VOR1142A6.pdf;Datasheet\/solid-state-relays/VOR1142B6, VOR1142A6\VOR1142B6, VOR1142A6.zip
VOR1142M4;Enlarge;SOP-4;1 Form A;400;140;2;27;850;0.5;0.2;3750;UL, cUL, VDE;image/solid-state-relays/84301.png;Datasheet\/solid-state-relays/VOR1142M4\VOR1142M4.pdf;None
VOR2121A8, VOR2121B8;Enlarge;SMD-8, DIP-8;1 Form A;250;200;2;15;5000;0.5;0.2;5300;UL, cUL, VDE;image/solid-state-relays/84302.png;Datasheet\/solid-state-relays/VOR2121A8, VOR2121B8\VOR2121A8, VOR2121B8.pdf;Datasheet\/solid-state-relays/VOR2121A8, VOR2121B8\VOR2121A8, VOR2121B8.zip
VOR2142A8, VOR2142B8;Enlarge;SMD-8, DIP-8;1 Form A;400;140;2;27;5000;0.5;0.2;5300;UL, cUL, VDE;image/solid-state-relays/84303.png;Datasheet\/solid-state-relays/VOR2142A8, VOR2142B8\VOR2142A8, VOR2142B8.pdf;Datasheet\/solid-state-relays/VOR2142A8, VOR2142B8\VOR2142A8, VOR2142B8.zip
VORA1010M4;Enlarge;SOP-4;1 Form A;100;100;2;6;n/a;0.25;0.15;3750;UL, cUL, VDE,;image/solid-state-relays/80152.png;Datasheet\/solid-state-relays/VORA1010M4\VORA1010M4.pdf;None
