Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733152900;Polyester;RFI X/Y;Axial;15nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733152000;Polyester;RFI X/Y;Axial;15nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734182000;Polyester;RFI X/Y;Axial;180nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734182900;Polyester;RFI X/Y;Axial;180nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734182901;Polyester;RFI X/Y;Axial;180nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733182901;Polyester;RFI X/Y;Axial;18nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733182900;Polyester;RFI X/Y;Axial;18nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733182000;Polyester;RFI X/Y;Axial;18nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735222000;Polyester;RFI X/Y;Axial;2,2µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735222901;Polyester;RFI X/Y;Axial;2,2µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735222900;Polyester;RFI X/Y;Axial;2,2µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734222000;Polyester;RFI X/Y;Axial;220nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734222900;Polyester;RFI X/Y;Axial;220nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734222901;Polyester;RFI X/Y;Axial;220nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733222000;Polyester;RFI X/Y;Axial;22nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733222900;Polyester;RFI X/Y;Axial;22nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733222901;Polyester;RFI X/Y;Axial;22nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734272901;Polyester;RFI X/Y;Axial;270nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734272900;Polyester;RFI X/Y;Axial;270nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734272000;Polyester;RFI X/Y;Axial;270nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733272000;Polyester;RFI X/Y;Axial;27nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733272901;Polyester;RFI X/Y;Axial;27nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733272900;Polyester;RFI X/Y;Axial;27nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
