Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-40HF(R) Series;Enlarge;40 at 110;570;595;1600;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;1600;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;1400;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;1400;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;1200;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;1200;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;1000;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;1000;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;800;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;800;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;600;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;600;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;400;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;400;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;200;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;200;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 110;570;595;100;;-65 to +160;1.5;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
VS-40HF(R) Series;Enlarge;40 at 140;570;595;100;;-65 to +190;1.3;DO-5 (DO-203AB);Single;image/diodes/93513.png;Datasheet/diodes/med-high-diodes/VS-40HF(R) Series/VS-40HF(R) Series.pdf;
