Series;Product Image;IT(AV)(A);TC(°C);IT(RMS)(A);VDRM/VRRM(V);ITSMat 50 Hz(A);ITSMat 60 Hz(A);VTMat ITM(V at A);TJ(°C);dV/dt(V/µs);Package;Circuit Configuration;Image path;Datasheet part;3d model part
VS-ST280S Series;Enlarge;280.0;85.0;440.0;600;7850.0;8220.0;1.28 at 880;-40 to +125;500.0;TO-93 (TO-209AB);Single SCR;image/thyristors/94402.png;Datasheet/thyristors/phase-control-discrete/VS-ST280S Series/VS-ST280S Series.pdf;
VS-ST280S Series;Enlarge;280.0;85.0;440.0;400;7850.0;8220.0;1.28 at 880;-40 to +125;500.0;TO-93 (TO-209AB);Single SCR;image/thyristors/94402.png;Datasheet/thyristors/phase-control-discrete/VS-ST280S Series/VS-ST280S Series.pdf;
