Part Number;Product Image;Package;VCEO(V);CTR min.1%;CTR max.1%;Forward Current IFmax.(mA);Power DissipationmW(mW);Operating Temperature max.(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
IL250, IL252;Enlarge;DIP-6;30.0;50;;60;200150.0;-55 to +100;4420;UL, cUL, VDE, BSI, , ,;image/optocouplers\83618.png;Datasheet\optocouplers\IL250, IL252\IL250, IL252.pdf;Datasheet\optocouplers\IL250, IL252\IL250, IL252.zip
IL250, IL252;Enlarge;SMD-6;30.0;50;;60;200150.0;-55 to +100;4420;UL, cUL, VDE, BSI, , ,;image/optocouplers\83618.png;Datasheet\optocouplers\IL250, IL252\IL250, IL252.pdf;Datasheet\optocouplers\IL250, IL252\IL250, IL252.zip
