Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;4.0;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;10.0;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;20.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;40;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;3.0;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;63.0;100;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;10.0;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;3.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;20.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;35;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;6.3;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;63.0;120;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;35.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
