Part Number;Product Image;IF(AV)(A);VFat IF(V at A);IFSM(A);Rev. Voltage(V);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
GBPC15;Enlarge;15.0;1.1;300;50;150;GBPC;Quad;image/diodes\88612.png;Datasheet\diodes\GBPC15\GBPC15.pdf;Datasheet\diodes\GBPC15\GBPC15.zip
GBPC15;Enlarge;15.0;1.1;300;50;150;GBPC-W;Quad;image/diodes\88612.png;Datasheet\diodes\GBPC15\GBPC15.pdf;Datasheet\diodes\GBPC15\GBPC15.zip
