Series;Product Image;Description;Mounting;Resistance at 25 °C(Ω);R25Tolerance(±%);B25/85(K);B25/85Tolerance(±%);Operating Temperature Range(°C);Image path;Datasheet part;3d model part
NTCALUG01T;Enlarge;"NTC Thermistors, Standard Lug Sensors, 150 &#176;C";;10000.0;1.0;3984.0;0.5;-55 to +150;image/thermistors\29164.png;Datasheet\thermistors\NTCALUG01T\NTCALUG01T.pdf;Datasheet\thermistors\NTCALUG01T\NTCALUG01T.zip
NTCALUG01T;Enlarge;"NTC Thermistors, Standard Lug Sensors, 150 &#176;C";;10000.0;1.0;3435.0;1.0;-55 to +150;image/thermistors\29164.png;Datasheet\thermistors\NTCALUG01T\NTCALUG01T.pdf;Datasheet\thermistors\NTCALUG01T\NTCALUG01T.zip
NTCALUG01T;Enlarge;"NTC Thermistors, Standard Lug Sensors, 150 &#176;C";;10000.0;2.0;3984.0;0.5;-55 to +150;image/thermistors\29164.png;Datasheet\thermistors\NTCALUG01T\NTCALUG01T.pdf;Datasheet\thermistors\NTCALUG01T\NTCALUG01T.zip
