Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-016N002C-BPP5N00000;character;16 x 2 characters;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37773;Datasheet/displays/OLED-016N002C-BPP5N00000\OLED-016N002C-BPP5N00000.pdf;None
OLED-016N002C-GPP5N00000;character;16 x 2 characters;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37774;Datasheet/displays/OLED-016N002C-GPP5N00000\OLED-016N002C-GPP5N00000.pdf;None
OLED-016N002C-LPP5N00000;character;16 x 2 characters;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37775;Datasheet/displays/OLED-016N002C-LPP5N00000\OLED-016N002C-LPP5N00000.pdf;None
OLED-016N002C-WPP5N00000;character;16 x 2 characters;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37777;Datasheet/displays/OLED-016N002C-WPP5N00000\OLED-016N002C-WPP5N00000.pdf;None
OLED-016N002E;Character;16 x 2 characters;84.0 x 44.0 x 10.0 (max.);66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;Y;Y;Y;Y;Y;37704;Datasheet/displays/OLED-016N002E\OLED-016N002E.pdf;None
OLED-016N002H-BPP5N00000;character;16 x 2 characters;122.0 x 44.0 x 10.0 (max.);98.0 x 21.0;4.74 x 8.9;0.90 x 1.06;0.96 x 1.12;1/16;OLED-0010;-;-;-;Yes;-;37788;Datasheet/displays/OLED-016N002H-BPP5N00000\OLED-016N002H-BPP5N00000.pdf;None
OLED-016N002H-GPP5N00000;character;16 x 2 characters;122.0 x 44.0 x 10.0 (max.);98.0 x 21.0;4.74 x 8.9;0.90 x 1.06;0.96 x 1.12;1/16;OLED-0010;-;Yes;-;-;-;37789;Datasheet/displays/OLED-016N002H-GPP5N00000\OLED-016N002H-GPP5N00000.pdf;None
OLED-016N002H-LPP5N00000;character;16 x 2 characters;122.0 x 44.0 x 10.0 (max.);98.0 x 21.0;4.74 x 8.90;0.90 x 1.06;0.96 x 1.12;1/16;OLED-0010;Yes;-;-;-;-;37790;Datasheet/displays/OLED-016N002H-LPP5N00000\OLED-016N002H-LPP5N00000.pdf;None
OLED-016N002H-WPP5N00000;character;16 x 2 characters;122.0 x 44.0 x 10.0 (max.);98.0 x 21.0;4.74 x 8.9;0.90 x 1.06;0.96 x 1.12;1/16;OLED-0010;-;-;-;-;Yes;37792;Datasheet/displays/OLED-016N002H-WPP5N00000\OLED-016N002H-WPP5N00000.pdf;None
OLED-016O002B-BPP5N00000;character;16 x 2 characters;53.0 x 20.0 x 7.6 (max.);36.0 x 10.0;1.67 x 2.84;0.30 x 0.32;0.34 x 0.36;1/16;OLED-0010;-;-;-;Yes;-;37793;Datasheet/displays/OLED-016O002B-BPP5N00000\OLED-016O002B-BPP5N00000.pdf;None
