Series;Type(V);Display Format;Outline Dimensions(W x H mm);Effective Viewing Area(W x H mm);Character Size(W x H mm);Dot Size(W x H mm);Dot Pitch(W x H mm);Driving Method (Duty);Built-In Controller;Process Color TN;Process Color STN Gray;Process Color STN Yellow;Process Color STN Blue;Process Color STN Color;BL None;BL LED;BL EL;BL CCFL;Image path;Datasheet part;3d model part
LCD-016N002B;Character;16 x 2 characters;80.0 x 36.0;66.0 x 16.0;2.96 x 5.56;0.55 x 0.65;0.60 x 0.70;1/16;KS 0066 (or equivalent);x;x;x;x;;x;x;x;;37295;displays\LCD-016N002B\LCD-016N002B.pdf;
LCD-016N002C;Character;16 x 2 characters;85.0 x 36.0;66.0 x 16.0;2.96 x 5.56;0.55 x 0.65;0.60 x 0.70;1/16;KS 0066 (or equivalent);x;x;x;x;;x;x;x;;37296;displays\LCD-016N002C\LCD-016N002C.pdf;
LCD-016N002D;Character;16 x 2 characters;85.0 x 30.0;66.0 x 16.0;2.96 x 5.56;0.55 x 0.65;0.60 x 0.70;1/16;KS 0066 (or equivalent);x;x;x;x;;x;x;x;;37297;displays\LCD-016N002D\LCD-016N002D.pdf;
LCD-016N002J;Character;16 x 2 characters;85.0 x 36.0;66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;KS 0066 (or equivalent);x;x;x;x;;x;x;x;;37298;displays\LCD-016N002J\LCD-016N002J.pdf;
LCD-016N002L1;Character;16 x 2 characters;122.0 x 44.0;99.0 x 24.0;4.84 x 9.66;0.92 x 1.10;0.98 x 1.16;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37299;displays\LCD-016N002L1\LCD-016N002L1.pdf;
LCD-016N002L1;Character;16 x 2 characters;122.0 x 44.0;99.0 x 24.0;4.84 x 9.66;0.92 x 1.10;0.98 x 1.16;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37423;displays\LCD-016N002L1\LCD-016N002L1.pdf;
LCD-016N002M;Character;16 x 2 characters;85.0 x 32.6;66.0 x 16.0;2.96 x 5.56;0.56 x 0.66;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37300;displays\LCD-016N002M\LCD-016N002M.pdf;
LCD-016N002O;Character;16 x 2 characters;85.0 x 25.2;66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37301;displays\LCD-016N002O\LCD-016N002O.pdf;
LCD-016N002P;Character;16 x 2 characters;85.0 x 25.2;66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37302;displays\LCD-016N002P\LCD-016N002P.pdf;
LCD-016N002S;Character;16 x 2 characters;59.0 x 29.3;52.0 x 15.0;2.45 x 4.67;0.45 x 0.54;0.50 x 0.59;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37303;displays\LCD-016N002S\LCD-016N002S.pdf;
