Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
196 DLC;Enlarge;MAL219642155E3;1500000;5.5;Cell;Ø20.5x8;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219652155E3;1500000;5.5;Cell;Ø19x20.5;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219662224E3;220000;5.5;Cell;Ø13.5x7;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219662334E3;330000;5.5;Cell;Ø13.5x7;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219672224E3;220000;5.5;Cell;Ø11.5x13;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219662474E3;470000;5.5;Cell;Ø13.5x7;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219632473E3;47000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219612473E3;47000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219672334E3;330000;5.5;Cell;Ø11.5x13;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219622473E3;47000;5.5;Cell;Ø13x9;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219662684E3;680000;5.5;Cell;Ø20.5x10.5;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219632104E3;100000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219672474E3;470000;5.5;Cell;Ø11.5x13;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219612104E3;100000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219662105E3;1000000;5.5;Cell;Ø20.5x8;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219622104E3;100000;5.5;Cell;Ø13x9;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219672105E3;1000000;5.5;Cell;Ø19x20.5;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219632224E3;220000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219612224E3;220000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219662155E3;1500000;5.5;Cell;Ø20.5x8;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219632334E3;330000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219672155E3;1500000;5.5;Cell;Ø19x20.5;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219612334E3;330000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219612474E3;470000;5.5;Cell;Ø21x7.5;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219622474E3;470000;5.5;Cell;Ø21x9;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219622684E3;680000;5.5;Cell;Ø21x9;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219612105E3;1000000;5.5;Cell;Ø21x7.5;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219642224E3;220000;5.5;Cell;Ø13.5x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219652224E3;220000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219642334E3;330000;5.5;Cell;Ø13.5x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219652334E3;330000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219642474E3;470000;5.5;Cell;Ø13.5x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219652474E3;470000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219642105E3;1000000;5.5;Cell;Ø20.5x8;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
196 DLC;Enlarge;MAL219652105E3;1000000;5.5;Cell;Ø19x20.5;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors\28362.png;Datasheet\capacitors\196 DLC\196 DLC.pdf;
