Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-80PF(R)...(W) High Voltage Series;Enlarge;80 at 123;1200;1250;1600;;-55 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes/93527.png;Datasheet/diodes/med-high-diodes/VS-80PF(R)...(W) High Voltage Series/VS-80PF(R)...(W) High Voltage Series.pdf;
VS-80PF(R)...(W) High Voltage Series;Enlarge;80 at 123;1200;1250;1400;;-55 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes/93527.png;Datasheet/diodes/med-high-diodes/VS-80PF(R)...(W) High Voltage Series/VS-80PF(R)...(W) High Voltage Series.pdf;
