Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
ZM4728A to ZM4761A;Enlarge;ZM4746A;3.3;75;18.0;14.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4747A;3.3;75;20.0;12.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4748A;3.3;75;22.0;11.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4749A;3.3;75;24.0;10.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4750A;3.3;75;27.0;9.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4751A;3.3;75;30.0;8.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4752A;3.3;75;33.0;7.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4753A;3.3;75;36.0;7.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4754A;3.3;75;39.0;6.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4755A;3.3;75;43.0;6.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4756A;3.3;75;47.0;5.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4757A;3.3;75;51.0;5.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4758A;3.3;75;56.0;4.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4759A;3.3;75;62.0;4.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4760A;3.3;75;68.0;3.7;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4761A;3.3;75;75.0;3.3;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4762A;3.3;75;82.0;3.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4763A;3.3;75;91.0;2.8;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4764A;3.3;75;100.0;2.5;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
