Series;Product Image;IFAV(A);TC(°C);VRRM(V);IFSM(A);VFat IFMat 25 °C(V at A);TJ(°C);RthJC(°C/W);Package;Circuit Configuration;Isolation from Heatsink;Image path;Datasheet part;3d model part
VS-301CNQ...PbF Series;Enlarge;300;132;40.0;3200;0.69 at 150;-55 to +175;0.28;TO-244;Two diodes common cathode;Not Isolated;image\modules\94176.png;Datasheet\modules\VS-301CNQ...PbF Series\VS-301CNQ...PbF Series.pdf;
VS-301CNQ...PbF Series;Enlarge;300;132;45.0;3200;0.69 at 150;-55 to +175;0.28;TO-244;Two diodes common cathode;Not Isolated;image\modules\94176.png;Datasheet\modules\VS-301CNQ...PbF Series\VS-301CNQ...PbF Series.pdf;
