Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG411HS;SPST x 4, NC;13;44;7;22;35;5;105;22;-90;QFN-16 4x4;;;;72053;Datasheet/analog-switches/DG411HS/DG411HS.pdf;None
DG411LE;SPST x 4, NC;3;16;3;8;16;1;50;6.6;-114;SO-16 (narrow) AS;15;5;;78091;Datasheet/analog-switches/DG411LE/DG411LE.pdf;None
DG411LE;SPST x 4, NC;3;16;3;8;16;1;50;6.6;-114;TSSOP-16;15;5;;78091;Datasheet/analog-switches/DG411LE/DG411LE.pdf;None
DG411LE;SPST x 4, NC;3;16;3;8;16;1;50;6.6;-114;Plastic DIP-16;15;5;;78091;Datasheet/analog-switches/DG411LE/DG411LE.pdf;None
DG412HS;SPST x 4, NO;13;44;7;22;35;5;105;22;-90;Plastic DIP-16;;;;72053;Datasheet/analog-switches/DG412HS/DG412HS.pdf;None
DG412HS;SPST x 4, NO;13;44;7;22;35;5;105;22;-90;SO-16 (Narrow) AS;;;;72053;Datasheet/analog-switches/DG412HS/DG412HS.pdf;None
DG412HS;SPST x 4, NO;13;44;7;22;35;5;105;22;-90;QFN-16 4x4;;;;72053;Datasheet/analog-switches/DG412HS/DG412HS.pdf;None
DG412LE;SPST x 4, NO;3;16;3;8;16;1;50;6.6;-114;TSSOP-16;15;5;;78091;Datasheet/analog-switches/DG412LE/DG412LE.pdf;None
DG412LE;SPST x 4, NO;3;16;3;8;16;1;50;6.6;-114;SO-16 (narrow) AS;15;5;;78091;Datasheet/analog-switches/DG412LE/DG412LE.pdf;None
DG412LE;SPST x 4, NO;3;16;3;8;16;1;50;6.6;-114;Plastic DIP-16;15;5;;78091;Datasheet/analog-switches/DG412LE/DG412LE.pdf;None
DG413HS;SPST x 4, Comp;13;44;7;22;35;5;105;22;-90;QFN-16 4x4;;;;72053;Datasheet/analog-switches/DG413HS/DG413HS.pdf;None
DG413HS;SPST x 4, Comp;13;44;7;22;35;5;105;22;-90;SO-16 (Narrow) AS;;;;72053;Datasheet/analog-switches/DG413HS/DG413HS.pdf;None
DG413HS;SPST x 4, Comp;13;44;7;22;35;5;105;22;-90;Plastic DIP-16;;;;72053;Datasheet/analog-switches/DG413HS/DG413HS.pdf;None
DG413LE;SPST x 4, comp;3;16;3;8;16;1;50;6.6;-114;SO-16 (narrow) AS;15;5;;78091;Datasheet/analog-switches/DG413LE/DG413LE.pdf;None
DG413LE;SPST x 4, comp;3;16;3;8;16;1;50;6.6;-114;TSSOP-16;15;5;;78091;Datasheet/analog-switches/DG413LE/DG413LE.pdf;None
DG413LE;SPST x 4, comp;3;16;3;8;16;1;50;6.6;-114;Plastic DIP-16;15;5;;78091;Datasheet/analog-switches/DG413LE/DG413LE.pdf;None
DG4157E;SPDT x 2;1.65;5.5;;;0.86;20;47;-5;-41;SC70-6;1;13;152;75778;Datasheet/analog-switches/DG4157E/DG4157E.pdf;None
DG4157E;SPDT x 2;1.65;5.5;;;0.86;20;47;-5;-41;UDFN-6;1;13;152;75778;Datasheet/analog-switches/DG4157E/DG4157E.pdf;None
DG417B;SPST x 1, NC;13;36;7;22;15;0.25;89;38;-88;Plastic DIP-8;50;12;;72107;Datasheet/analog-switches/DG417B/DG417B.pdf;None
DG417B;SPST x 1, NC;13;36;7;22;15;0.25;89;38;-88;SO-8 (Narrow) AS;50;12;;72107;Datasheet/analog-switches/DG417B/DG417B.pdf;None
DG417B;SPST x 1, NC;13;36;7;22;15;0.25;89;38;-88;MSOP-8;50;12;;72107;Datasheet/analog-switches/DG417B/DG417B.pdf;None
DG417LE;SPST x 1, NC;3;16;3;8;6;2;38;-17;-68;MSOP-8;33;11;;76432;Datasheet/analog-switches/DG417LE/DG417LE.pdf;None
DG417LE;SPST x 1, NC;3;16;3;8;6;2;38;-17;-68;SO-8 (narrow) AS;33;11;;76432;Datasheet/analog-switches/DG417LE/DG417LE.pdf;None
DG418B;SPST x 1, NO;13;36;7;22;15;0.25;89;38;-88;SO-8 (Narrow) AS;50;12;;72107;Datasheet/analog-switches/DG418B/DG418B.pdf;None
DG418B;SPST x 1, NO;13;36;7;22;15;0.25;89;38;-88;Plastic DIP-8;50;12;;72107;Datasheet/analog-switches/DG418B/DG418B.pdf;None
DG418B;SPST x 1, NO;13;36;7;22;15;0.25;89;38;-88;MSOP-8;50;12;;72107;Datasheet/analog-switches/DG418B/DG418B.pdf;None
DG418LE;SPST x 1, NO;3;16;3;8;6;2;38;-17;-68;SO-8 (narrow) AS;33;11;;76432;Datasheet/analog-switches/DG418LE/DG418LE.pdf;None
DG418LE;SPST x 1, NO;3;16;3;8;6;2;38;-17;-68;MSOP-8;33;11;;76432;Datasheet/analog-switches/DG418LE/DG418LE.pdf;None
DG419B;SPDT x 1;13;36;7;22;15;0.25;89;38;-88;MSOP-8;57;12;;72107;Datasheet/analog-switches/DG419B/DG419B.pdf;None
DG419B;SPDT x 1;13;36;7;22;15;0.25;89;38;-88;SO-8 (Narrow) AS;57;12;;72107;Datasheet/analog-switches/DG419B/DG419B.pdf;None
DG419B;SPDT x 1;13;36;7;22;15;0.25;89;38;-88;Plastic DIP-8;57;12;;72107;Datasheet/analog-switches/DG419B/DG419B.pdf;None
DG419LE;SPDT x 1;3;16;3;8;12;2;38;-17;-68;SO-8 (narrow) AS;29;6;;76432;Datasheet/analog-switches/DG419LE/DG419LE.pdf;None
DG419LE;SPDT x 1;3;16;3;8;12;2;38;-17;-68;MSOP-8;29;6;;76432;Datasheet/analog-switches/DG419LE/DG419LE.pdf;None
DG441B;SPST x 4, NC;13;36;7;22;45;0.5;220;1;-95;Plastic DIP-16;16;4;;72625;Datasheet/analog-switches/DG441B/DG441B.pdf;None
DG441B;SPST x 4, NC;13;36;7;22;45;0.5;220;1;-95;QFN-16 4x4;16;4;;72625;Datasheet/analog-switches/DG441B/DG441B.pdf;None
DG441B;SPST x 4, NC;13;36;7;22;45;0.5;220;1;-95;SO-16 (Narrow) AS;16;4;;72625;Datasheet/analog-switches/DG441B/DG441B.pdf;None
DG441LE;SPST x 4, NC;3;16;3;8;16;1;65;5.8;-113;SO-16 (Narrow) AS;14;5;;76754;Datasheet/analog-switches/DG441LE/DG441LE.pdf;None
DG441LE;SPST x 4, NC;3;16;3;8;16;1;65;5.8;-113;Plastic DIP-16;14;5;;76754;Datasheet/analog-switches/DG441LE/DG441LE.pdf;None
DG441LE;SPST x 4, NC;3;16;3;8;16;1;65;5.8;-113;TSSOP-16;14;5;;76754;Datasheet/analog-switches/DG441LE/DG441LE.pdf;None
DG442B;SPST x 4, NO;13;36;7;22;45;0.5;220;1;-95;SO-16 (Narrow) AS;16;4;;72625;Datasheet/analog-switches/DG442B/DG442B.pdf;None
DG442B;SPST x 4, NO;13;36;7;22;45;0.5;220;1;-95;QFN-16 4x4;16;4;;72625;Datasheet/analog-switches/DG442B/DG442B.pdf;None
DG442B;SPST x 4, NO;13;36;7;22;45;0.5;220;1;-95;Plastic DIP-16;16;4;;72625;Datasheet/analog-switches/DG442B/DG442B.pdf;None
DG442LE;SPST x 4, NO;3;16;3;8;16;1;65;5.8;-113;TSSOP-16;14;5;;76754;Datasheet/analog-switches/DG442LE/DG442LE.pdf;None
DG442LE;SPST x 4, NO;3;16;3;8;16;1;65;5.8;-113;Plastic DIP-16;14;5;;76754;Datasheet/analog-switches/DG442LE/DG442LE.pdf;None
DG442LE;SPST x 4, NO;3;16;3;8;16;1;65;5.8;-113;SO-16 (Narrow) AS;14;5;;76754;Datasheet/analog-switches/DG442LE/DG442LE.pdf;None
DG444B;SPST x 4, NC;13;36;7;22;45;0.5;300;1;-95;Plastic DIP-16;16;5;;72626;Datasheet/analog-switches/DG444B/DG444B.pdf;None
DG444B;SPST x 4, NC;13;36;7;22;45;0.5;300;1;-95;QFN-16 4x4;16;5;;72626;Datasheet/analog-switches/DG444B/DG444B.pdf;None
DG444B;SPST x 4, NC;13;36;7;22;45;0.5;300;1;-95;SO-16 (Narrow) AS;16;5;;72626;Datasheet/analog-switches/DG444B/DG444B.pdf;None
DG445B;SPST x 4, NO;13;36;7;22;45;0.5;300;1;-95;QFN-16 4x4;16;5;;72626;Datasheet/analog-switches/DG445B/DG445B.pdf;None
DG445B;SPST x 4, NO;13;36;7;22;45;0.5;300;1;-95;SO-16 (Narrow) AS;16;5;;72626;Datasheet/analog-switches/DG445B/DG445B.pdf;None
DG445B;SPST x 4, NO;13;36;7;22;45;0.5;300;1;-95;Plastic DIP-16;16;5;;72626;Datasheet/analog-switches/DG445B/DG445B.pdf;None
DG447;SPST x 1, NO;7;36;4.5;22;32;1;130;12;-72;TSOP-6;30;8;;73854;Datasheet/analog-switches/DG447/DG447.pdf;None
DG448;SPST x 1, NO;7;36;4.5;22;32;1;130;12;-72;TSOP-6;30;8;;73854;Datasheet/analog-switches/DG448/DG448.pdf;None
DG449;SPDT x 1;7;36;4.5;20;38;1;146;5;-80;SOT-23-8;18;8;;73897;Datasheet/analog-switches/DG449/DG449.pdf;None
