Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
VLMY233T2V2;SMD MiniLED;Yellow;583;589;594;355;650;1120;20;;;;;2.15;2.6;60;Power;82423;Datasheet/leds/VLMY233T2V2\VLMY233T2V2.pdf;Datasheet/leds/VLMY233T2V2\VLMY233T2V2.zip
VLMY234ABCA;SMD MiniLED;Yellow;583;589;594;1400;2000;3550;50;;;;;2.3;2.8;60;Power;84215;Datasheet/leds/VLMY234ABCA\VLMY234ABCA.pdf;Datasheet/leds/VLMY234ABCA\VLMY234ABCA.zip
VLMY235T2V1;SMD MiniLED;Yellow;583;589;594;355;520;900;20;;;;;2.1;2.6;60;Power;84589;Datasheet/leds/VLMY235T2V1\VLMY235T2V1.pdf;Datasheet/leds/VLMY235T2V1\VLMY235T2V1.zip
VLMY333U1AA;SMD PLCC-2;Yellow;583;589;594;450;750;1400;20;;;;;2.15;2.6;60;Power;82383;Datasheet/leds/VLMY333U1AA\VLMY333U1AA.pdf;Datasheet/leds/VLMY333U1AA\VLMY333U1AA.zip
VLMY334BACB;SMD PLCC-2;Yellow;583;589;594;1800;2300;4500;50;;;;;2.3;2.8;60;Power;84213;Datasheet/leds/VLMY334BACB\VLMY334BACB.pdf;Datasheet/leds/VLMY334BACB\VLMY334BACB.zip
VLMY335U1V2;SMD PLCC-2;Yellow;583;589;594;450;600;1120;20;;;;;2.15;2.6;60;Power;84911;Datasheet/leds/VLMY335U1V2\VLMY335U1V2.pdf;Datasheet/leds/VLMY335U1V2\VLMY335U1V2.zip
VLMY33T1U2;SMD PLCC-2;Yellow;583;588;594;280;425;710;30;;;;;2.0;2.5;60;Power;81336;Datasheet/leds/VLMY33T1U2\VLMY33T1U2.pdf;Datasheet/leds/VLMY33T1U2\VLMY33T1U2.zip
VLMYG33P1Q2;SMD PLCC-2;Yellow green;566;570;577;45;90;112;30;;;;;2.0;2.5;60;Power;81335;Datasheet/leds/VLMYG33P1Q2\VLMYG33P1Q2.pdf;Datasheet/leds/VLMYG33P1Q2\VLMYG33P1Q2.zip
VLWR9632;TELUX;Red;611;616;634;;;;;6000;;12200;70;2.2;3.03;30;Power;81818;Datasheet/leds/VLWR9632\VLWR9632.pdf;Datasheet/leds/VLWR9632\VLWR9632.zip
VLWR9930;TELUX;Red;611;616;634;;;;;4000;8500;12200;70;2.2;3.03;45;Power;81817;Datasheet/leds/VLWR9930\VLWR9930.pdf;Datasheet/leds/VLWR9930\VLWR9930.zip
VLWR9932;TELUX;Red;611;616;634;;;;;6000;9000;12200;70;2.2;2.67;45;Power;81817;Datasheet/leds/VLWR9932\VLWR9932.pdf;Datasheet/leds/VLWR9932\VLWR9932.zip
VLWR9933;TELUX;Red;611;616;634;;;;;7000;9500;12200;70;2.2;2.67;45;Power;81817;Datasheet/leds/VLWR9933\VLWR9933.pdf;Datasheet/leds/VLWR9933\VLWR9933.zip
VLWY9930;TELUX;Yellow;585;592;597;;;;;4000;8500;12200;70;2.2;3.03;45;Power;81815;Datasheet/leds/VLWY9930\VLWY9930.pdf;Datasheet/leds/VLWY9930\VLWY9930.zip
