Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16.0;50;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;2.5;40;7.3 x 4.3 x 2.0 (V);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;35.0;300;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25.0;100;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16.0;65;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;40;7.3 x 4.3 x 2.0 (V);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;6.8 µF;35.0;120;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25.0;100;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;20.0;100;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;6.3;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;16.0;70;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;4.0;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35.0;120;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25.0;60;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;10.0;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;25.0;300;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;6.3;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
