Series;Product Image;Type;Technology;Description;Mounting;Case Size;Working Voltage(V);Capacitance (min.);Capacitance (max.);Image path;Datasheet part;3d model part
NC Series;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Single Value Chip and Wire Capacitors;Wire Bondable;606;;360 pF;1000 pF;image/capacitors\61033.png;Datasheet\capacitors\NC Series\NC Series.pdf;
NC Series;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Single Value Chip and Wire Capacitors;Wire Bondable;505;140.0;150 pF;510 pF;image/capacitors\61033.png;Datasheet\capacitors\NC Series\NC Series.pdf;
NC Series;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Single Value Chip and Wire Capacitors;Wire Bondable;303;150.0;33 pF;100 pF;image/capacitors\61033.png;Datasheet\capacitors\NC Series\NC Series.pdf;
NC Series;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Single Value Chip and Wire Capacitors;Wire Bondable;404;190.0;56 pF;220 pF;image/capacitors\61033.png;Datasheet\capacitors\NC Series\NC Series.pdf;
NC Series;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Single Value Chip and Wire Capacitors;Wire Bondable;202;200.0;0.5 pF;51 pF;image/capacitors\61033.png;Datasheet\capacitors\NC Series\NC Series.pdf;
