Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-6F(R) Series;Enlarge;6 at 160;159;167;100;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
VS-6F(R) Series;Enlarge;6 at 160;159;167;200;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
VS-6F(R) Series;Enlarge;6 at 160;159;167;400;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
VS-6F(R) Series;Enlarge;6 at 160;159;167;600;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
VS-6F(R) Series;Enlarge;6 at 160;159;167;800;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
VS-6F(R) Series;Enlarge;6 at 160;159;167;1000;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
VS-6F(R) Series;Enlarge;6 at 160;159;167;1200;;-65 to +175;1.1;DO-4 (DO-203AA);Single;image/diodes\93519.png;Datasheet\diodes\VS-6F(R) Series\VS-6F(R) Series.pdf;
