Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T56;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;16.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;35.0;120;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25.0;40;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10.0;40;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;2.5;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25.0;100;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16.0;50;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;50.0;120;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;6.3;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;25.0;60;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;10.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;4.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25.0;125;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;40;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;20.0;90;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;680 µF;6.3;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;2.5;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35.0;200;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;16.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;4.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25.0;40;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;45;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;20.0;125;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;10.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;2.5;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;16.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;6.3;45;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35.0;120;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;4.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;20.0;40;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;10.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;2.5;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;70;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;35.0;125;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25.0;60;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10.0;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;25;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;20.0;40;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
T56;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;10.0;60;;image/capacitors\40219.png;Datasheet\capacitors\T56\T56.pdf;Datasheet\capacitors\T56\T56.zip
