Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;150 µF;20.0;200.0;7.4 x 4.3 x 3.1 (D);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;2.2 µF;16.0;3900.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;220 µF;6.3;180.0;5.6 x 3.66 x 2.2 (G);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;3.3 µF;35.0;2400.0;4.0 x 2.8 x 2.2 (B);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;10 µF;4.0;1900.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;6.8 µF;20.0;3000.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;150 µF;10.0;220.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;10 µF;50.0;650.0;7.2 x 6.0 x 3.8 (R);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;33 µF;6.3;1300.0;3.2 x 1.6 x 1.6 (S);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;22 µF;25.0;500.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;100 µF;16.0;270.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;10 µF;10.0;1900.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;0.22 µF;50.0;9000.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;100 µF;6.3;200.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;0.68 µF;35.0;4200.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;1 µF;20.0;9000.0;2.2 x 1.1 x 1.4 (T);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;100 µF;10.0;400.0;4.0 x 2.8 x 2.2 (B);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;3.3 µF;50.0;1600.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;6.8 µF;6.3;3600.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;6.8 µF;25.0;1500.0;4.0 x 2.8 x 2.2 (B);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;33 µF;16.0;290.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;2.2 µF;10.0;8600.0;2.2 x 1.1 x 1.4 (T);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;33 µF;35.0;280.0;7.2 x 6.0 x 3.8 (R);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
