Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V at A);IFSM(A);IRM(mA);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;AEC-Q101Qualified;Image path;Datasheet part;3d model part
VS-20CTQ...-1-M3 Series;Enlarge;35;2 x 10;0.57;1060.0;15 at 125 °C;175;TO-262AA;Common cathode;No;image/diodes\95739.png;Datasheet\diodes\VS-20CTQ...-1-M3 Series\VS-20CTQ...-1-M3 Series.pdf;
VS-20CTQ...-1-M3 Series;Enlarge;40;2 x 10;0.57;1060.0;15 at 125 °C;175;TO-262AA;Common cathode;No;image/diodes\96246.png;Datasheet\diodes\VS-20CTQ...-1-M3 Series\VS-20CTQ...-1-M3 Series.pdf;
VS-20CTQ...-1-M3 Series;Enlarge;45;2 x 10;0.57;1060.0;15 at 125 °C;175;TO-262AA;Common cathode;No;image/diodes\95731.png;Datasheet\diodes\VS-20CTQ...-1-M3 Series\VS-20CTQ...-1-M3 Series.pdf;
