Part Number;Status;Description;Configuration;VINMin.(V);VINMax.(V);RDS(on)at VINMax.(mΩ);IQat VINMax.(µA);Output Discharge(Y / N);Reverse Blocking(Y / N);Cont. Current(A);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiC32201;New;0.45 mO, integrated OR-ing switch with OR-ing controller, lossless current sense, and temperature report;Parallelable;9;18;0.45;1800;No;Yes;100;PowerPAK® MLP66-40L;6.0 x 6.0 x 0.75;77592;Datasheet/power-ics/integrated-OR-ing-switch/SiC32201/SiC32201.pdf;None
SiC32201;New;0.45 mO, integrated OR-ing switch with OR-ing controller, lossless current sense, and temperature report;Parallelable;9;18;0.45;1800;No;Yes;100;PowerPAK® MLP66-40L;6.0 x 6.0 x 0.75;78907;Datasheet/power-ics/integrated-OR-ing-switch/SiC32201/SiC32201.pdf;None
