Series;Product Image;Product Group;VRmax. / VRRM(V);IFmax.(mA);VFmax. at IF(mV at mA);AEC-Q101 Qualified;Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
SD101AW-G, SD101BW-G, SD101CW-G;Enlarge;Small Signal Schottky Diodes;60.0;100.0;1000 at 15;No;SOD-123;Single;image/diodes/86413.png;Datasheet/diodes/ss-schottky/SD101AW-G, SD101BW-G, SD101CW-G/SD101AW-G, SD101BW-G, SD101CW-G.pdf;Datasheet/diodes/ss-schottky/SD101AW-G, SD101BW-G, SD101CW-G/SD101AW-G, SD101BW-G, SD101CW-G.zip
SD101AW-G, SD101BW-G, SD101CW-G;Enlarge;Small Signal Schottky Diodes;50.0;100.0;1000 at 15;No;SOD-123;Single;image/diodes/86413.png;Datasheet/diodes/ss-schottky/SD101AW-G, SD101BW-G, SD101CW-G/SD101AW-G, SD101BW-G, SD101CW-G.pdf;Datasheet/diodes/ss-schottky/SD101AW-G, SD101BW-G, SD101CW-G/SD101AW-G, SD101BW-G, SD101CW-G.zip
SD101AW-G, SD101BW-G, SD101CW-G;Enlarge;Small Signal Schottky Diodes;40.0;100.0;1000 at 15;No;SOD-123;Single;image/diodes/86413.png;Datasheet/diodes/ss-schottky/SD101AW-G, SD101BW-G, SD101CW-G/SD101AW-G, SD101BW-G, SD101CW-G.pdf;Datasheet/diodes/ss-schottky/SD101AW-G, SD101BW-G, SD101CW-G/SD101AW-G, SD101BW-G, SD101CW-G.zip
