Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-SD400N/R Series;Enlarge;480 at 120;8250;8640;1600;;-40 to +190;1.62;DO-9 (DO-205AB);Single;image/diodes\93548.png;Datasheet\diodes\VS-SD400N/R Series\VS-SD400N/R Series.pdf;
VS-SD400N/R Series;Enlarge;480 at 120;8250;8640;2000;;-40 to +190;1.62;DO-9 (DO-205AB);Single;image/diodes\93548.png;Datasheet\diodes\VS-SD400N/R Series\VS-SD400N/R Series.pdf;
VS-SD400N/R Series;Enlarge;480 at 120;8250;8640;2400;;-40 to +190;1.62;DO-9 (DO-205AB);Single;image/diodes\93548.png;Datasheet\diodes\VS-SD400N/R Series\VS-SD400N/R Series.pdf;
