Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;6.3;120 nF;150 nF;X5R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;None
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50;0.5 pF;120 pF;C0G (NP0);image\capacitors\28538.png;Datasheet\capacitors\VJ....W1BC Ultra Small Series 0201\VJ....W1BC Ultra Small Series 0201.pdf;None
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50;100 pF;10 nF;BR;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;None
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50;100 pF;8.2 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;None
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50;100 pF;1.0 uF;X5R;image\capacitors\28538.png;Datasheet\capacitors\VJ....W1BC Ultra Small Series 0201\VJ....W1BC Ultra Small Series 0201.pdf;None
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50;100 pF;10 nF;X7R;image\capacitors\28538.png;Datasheet\capacitors\VJ....W1BC Ultra Small Series 0201\VJ....W1BC Ultra Small Series 0201.pdf;None
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50;390 nF;470 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;None
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;1 pF;680 pF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;None
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;1 pF;2.2 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;None
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;10 pF;180 pF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;None
