Part Number;Product Image;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Lead Style;Packaging;Image path;Datasheet part;3d model part
PA0100WH10238BJ1;Enlarge;13000;1000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WH10238BJ1\PA0100WH10238BJ1.pdf;Datasheet\capacitors\PA0100WH10238BJ1\PA0100WH10238BJ1.zip
PA0100WH12238BJ1;Enlarge;13000;1200;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WH12238BJ1\PA0100WH12238BJ1.pdf;Datasheet\capacitors\PA0100WH12238BJ1\PA0100WH12238BJ1.zip
PA0100WH16138BG1;Enlarge;13000;160;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WH16138BG1\PA0100WH16138BG1.pdf;Datasheet\capacitors\PA0100WH16138BG1\PA0100WH16138BG1.zip
PA0100WH30138BH1;Enlarge;13000;300;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WH30138BH1\PA0100WH30138BH1.pdf;Datasheet\capacitors\PA0100WH30138BH1\PA0100WH30138BH1.zip
PA0100WJ25138BH1;Enlarge;14000;250;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WJ25138BH1\PA0100WJ25138BH1.pdf;Datasheet\capacitors\PA0100WJ25138BH1\PA0100WJ25138BH1.zip
PA0100WJ40138BJ1;Enlarge;14000;400;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WJ40138BJ1\PA0100WJ40138BJ1.pdf;Datasheet\capacitors\PA0100WJ40138BJ1\PA0100WJ40138BJ1.zip
PA0100WJ50138BJ1;Enlarge;14000;500;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WJ50138BJ1\PA0100WJ50138BJ1.pdf;Datasheet\capacitors\PA0100WJ50138BJ1\PA0100WJ50138BJ1.zip
PA0100WJ60138BJ1;Enlarge;14000;600;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WJ60138BJ1\PA0100WJ60138BJ1.pdf;Datasheet\capacitors\PA0100WJ60138BJ1\PA0100WJ60138BJ1.zip
PA0100WJ80138BJ1;Enlarge;14000;800;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0100WJ80138BJ1\PA0100WJ80138BJ1.pdf;Datasheet\capacitors\PA0100WJ80138BJ1\PA0100WJ80138BJ1.zip
PA0140BJ10138BF1;Enlarge;15000;100;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140BJ10138BF1\PA0140BJ10138BF1.pdf;Datasheet\capacitors\PA0140BJ10138BF1\PA0140BJ10138BF1.zip
PA0140BJ12138BF1;Enlarge;15000;120;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140BJ12138BF1\PA0140BJ12138BF1.pdf;Datasheet\capacitors\PA0140BJ12138BF1\PA0140BJ12138BF1.zip
PA0140BJ16138BG1;Enlarge;15000;160;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140BJ16138BG1\PA0140BJ16138BG1.pdf;Datasheet\capacitors\PA0140BJ16138BG1\PA0140BJ16138BG1.zip
PA0140BJ20138BG1;Enlarge;15000;200;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140BJ20138BG1\PA0140BJ20138BG1.pdf;Datasheet\capacitors\PA0140BJ20138BG1\PA0140BJ20138BG1.zip
PA0140BJ25138BG1;Enlarge;15000;250;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140BJ25138BG1\PA0140BJ25138BG1.pdf;Datasheet\capacitors\PA0140BJ25138BG1\PA0140BJ25138BG1.zip
PA0140BJ40138BH1;Enlarge;15000;400;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140BJ40138BH1\PA0140BJ40138BH1.pdf;Datasheet\capacitors\PA0140BJ40138BH1\PA0140BJ40138BH1.zip
