Part Number;Product Image;Description;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Lead Style;Packaging;Image path;Datasheet part;3d model part
K391J15C0GK5UH5R;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;200;390;C0G;5 mm / 0.200 inch;Step / High Seated;Ammo;image\capacitors\45233.png;Datasheet\capacitors\K391J15C0GK5UH5R\K391J15C0GK5UH5R.pdf;None
K391J15C0GK5UL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;200;390;C0G;2.5 mm / 0.100 inch;Straight;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391J15C0GK5UL2\K391J15C0GK5UL2.pdf;None
K391J15C0GK5UL2R;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for Automotive Applications Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC;200;390;C0G;2.5 mm / 0.100 inch;Straight;Ammo;image\capacitors\45233.png;Datasheet\capacitors\K391J15C0GK5UL2R\K391J15C0GK5UL2R.pdf;None
K391J15C0GL53H5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;500;390;C0G;5 mm / 0.200 inch;Step / High Seated;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391J15C0GL53H5\K391J15C0GL53H5.pdf;None
K391J15C0GL5TH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;500;390;C0G;5 mm / 0.200 inch;Step / High Seated;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391J15C0GL5TH5\K391J15C0GL5TH5.pdf;None
K391J15C0GL5UH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;500;390;C0G;5 mm / 0.200 inch;Step / High Seated;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391J15C0GL5UH5\K391J15C0GL5UH5.pdf;None
K391K10C0GF53H5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;C0G;5 mm / 0.200 inch;Step / High Seated;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GF53H5\K391K10C0GF53H5.pdf;None
K391K10C0GF53L2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;C0G;2.5 mm / 0.100 inch;Straight;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GF53L2\K391K10C0GF53L2.pdf;None
K391K10C0GF5TH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;C0G;5 mm / 0.200 inch;Step / High Seated;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GF5TH5\K391K10C0GF5TH5.pdf;None
K391K10C0GF5TL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;C0G;2.5 mm / 0.100 inch;Straight;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GF5TL2\K391K10C0GF5TL2.pdf;None
K391K10C0GF5UH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;C0G;5 mm / 0.200 inch;Step / High Seated;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GF5UH5\K391K10C0GF5UH5.pdf;None
K391K10C0GF5UL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;C0G;2.5 mm / 0.100 inch;Straight;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GF5UL2\K391K10C0GF5UL2.pdf;None
K391K10C0GH53H5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;C0G;5 mm / 0.200 inch;Step / High Seated;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GH53H5\K391K10C0GH53H5.pdf;None
K391K10C0GH53L2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;C0G;2.5 mm / 0.100 inch;Straight;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GH53L2\K391K10C0GH53L2.pdf;None
K391K10C0GH5TH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;C0G;5 mm / 0.200 inch;Step / High Seated;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GH5TH5\K391K10C0GH5TH5.pdf;None
K391K10C0GH5TL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;C0G;2.5 mm / 0.100 inch;Straight;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GH5TL2\K391K10C0GH5TL2.pdf;None
K391K10C0GH5UH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;C0G;5 mm / 0.200 inch;Step / High Seated;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GH5UH5\K391K10C0GH5UH5.pdf;None
K391K10C0GH5UL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;C0G;2.5 mm / 0.100 inch;Straight;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391K10C0GH5UL2\K391K10C0GH5UL2.pdf;None
K391K10X7RF53H5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;X7R;5 mm / 0.200 inch;Step / High Seated;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RF53H5\K391K10X7RF53H5.pdf;None
K391K10X7RF53L2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;X7R;2.5 mm / 0.100 inch;Straight;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RF53L2\K391K10X7RF53L2.pdf;None
K391K10X7RF5TH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;X7R;5 mm / 0.200 inch;Step / High Seated;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RF5TH5\K391K10X7RF5TH5.pdf;None
K391K10X7RF5TL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;X7R;2.5 mm / 0.100 inch;Straight;Reel;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RF5TL2\K391K10X7RF5TL2.pdf;None
K391K10X7RF5UH5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;X7R;5 mm / 0.200 inch;Step / High Seated;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RF5UH5\K391K10X7RF5UH5.pdf;None
K391K10X7RF5UL2;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;50;390;X7R;2.5 mm / 0.100 inch;Straight;Ammo;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RF5UL2\K391K10X7RF5UL2.pdf;None
K391K10X7RH53H5;Enlarge;Radial Leaded Multilayer Ceramic Capacitors for General Purpose Class 1 and Class 2, 50 VDC, 100 VDC, 200 VDC, 500 VDC;100;390;X7R;5 mm / 0.200 inch;Step / High Seated;Bulk;image\capacitors\45171.png;Datasheet\capacitors\K391K10X7RH53H5\K391K10X7RH53H5.pdf;None
