Series;Product Image;IFAV(A);TC(°C);VRRM(V);IFSM(A);VFat IFMat 25 °C(V at A);TJ(°C);RthJC(°C/W);Package;Circuit Configuration;Isolation from Heatsink;Image path;Datasheet part;3d model part
VS-209CNQ...PbF Series;Enlarge;200;131;150.0;1200;1.06 at 100;-55 to +175;0.38;TO-244;Two diodes common cathode;Not Isolated;image\modules\94156.png;Datasheet\modules\VS-209CNQ...PbF Series\VS-209CNQ...PbF Series.pdf;
VS-209CNQ...PbF Series;Enlarge;200;131;135.0;1200;1.06 at 100;-55 to +175;0.38;TO-244;Two diodes common cathode;Not Isolated;image\modules\94156.png;Datasheet\modules\VS-209CNQ...PbF Series\VS-209CNQ...PbF Series.pdf;
