Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V at A);IFSM(A);IRM(mA);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;AEC-Q101Qualified;Image path;Datasheet part;3d model part
MBRB15xxCT;Enlarge;45;2 x 7.5;see datasheet;150.0;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88670.png;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.pdf;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.zip
MBRB15xxCT;Enlarge;60;2 x 7.5;see datasheet;150.0;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88670.png;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.pdf;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.zip
