Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
225 EDLC-R ENYCAP™;Enlarge;MAL222551024E3;100000000;2.7;Radial;Ø20x40;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551012E3;7000000;2.7;Radial;Ø10x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531015E3;12000000;2.7;Radial;Ø12.5x25;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531012E3;7000000;2.7;Radial;Ø10x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551015E3;12000000;2.7;Radial;Ø12.5x25;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551014E3;8000000;2.7;Radial;Ø12.5x20;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531016E3;15000000;2.7;Radial;Ø12.5x30;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531014E3;8000000;2.7;Radial;Ø12.5x20;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551016E3;15000000;2.7;Radial;Ø12.5x30;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531003E3;20000000;2.7;Radial;Ø16x20;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
