Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-130-160MT..KPbF Series;Enlarge;130.0;85.0;1200;1300;1130;1180;1.63 at 200;150;0.93;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;130.0;85.0;800;900;1130;1180;1.63 at 200;150;0.93;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;160.0;85.0;1600;1700;1430;1500;1.49 at 200;150;0.73;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;160.0;85.0;1200;1300;1430;1500;1.49 at 200;150;0.73;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;130.0;85.0;1400;1500;1130;1180;1.63 at 200;150;0.93;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;160.0;85.0;800;900;1430;1500;1.49 at 200;150;0.73;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;130.0;85.0;1000;1100;1130;1180;1.63 at 200;150;0.93;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;160.0;85.0;1400;1500;1430;1500;1.49 at 200;150;0.73;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;130.0;85.0;1600;1700;1130;1180;1.63 at 200;150;0.93;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
VS-130-160MT..KPbF Series;Enlarge;160.0;85.0;1000;1100;1430;1500;1.49 at 200;150;0.73;MTK;Three phase bridge;image/modules\94354.png;Datasheet\modules\VS-130-160MT..KPbF Series\VS-130-160MT..KPbF Series.pdf;
