Part Number;Product Image;Package;VCEO(V);CTR min1%;Forward Current IFmax.(mA);Operating Temperature max.(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
TCMD1000, TCMD4000;Enlarge;SOP-4;35;600;60;- 40 to + 100;3750;UL, cUL, VDE, , BSI, FIMKO;image/optocouplers/83513.png;Datasheet/optocouplers/opto-darl-out/TCMD1000, TCMD4000/TCMD1000, TCMD4000.pdf;Datasheet/optocouplers/opto-darl-out/TCMD1000, TCMD4000/TCMD1000, TCMD4000.zip
TCMD1000, TCMD4000;Enlarge;SOP-16;35;600;60;- 40 to + 100;3750;UL, cUL, VDE, , BSI, FIMKO;image/optocouplers/83513.png;Datasheet/optocouplers/opto-darl-out/TCMD1000, TCMD4000/TCMD1000, TCMD4000.pdf;Datasheet/optocouplers/opto-darl-out/TCMD1000, TCMD4000/TCMD1000, TCMD4000.zip
