Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50.0;0.5 pF;120 pF;C0G (NP0);image\capacitors\28538.png;Datasheet\capacitors\VJ....W1BC Ultra Small Series 0201\VJ....W1BC Ultra Small Series 0201.pdf;
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50.0;100 pF;1.0 uF;X5R;image\capacitors\28538.png;Datasheet\capacitors\VJ....W1BC Ultra Small Series 0201\VJ....W1BC Ultra Small Series 0201.pdf;
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50.0;100 pF;10 nF;X7R;image\capacitors\28538.png;Datasheet\capacitors\VJ....W1BC Ultra Small Series 0201\VJ....W1BC Ultra Small Series 0201.pdf;
