Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
150 RMI;Enlarge;MAL215051152E3;1500.0;50.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215060681E3;680.0;35.0;Radial;Ø12.5x20;+105 °C;7000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215056222E3;2200.0;25.0;Radial;Ø16x20;+105 °C;7000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215035332E3;3300.0;16.0;Radial;Ø16x20;+105 °C;7000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215031102E3;1000.0;50.0;Radial;Ø16x25;+105 °C;10000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215060471E3;470.0;35.0;Radial;Ø10x20;+105 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215061152E3;1500.0;50.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215061681E3;680.0;50.0;Radial;Ø12.5x25;+105 °C;8000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215060222E3;2200.0;35.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215055332E3;3300.0;16.0;Radial;Ø16x20;+105 °C;7000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215058102E3;1000.0;63.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215030471E3;470.0;35.0;Radial;Ø10x20;+105 °C;6000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215059229E3;22.0;100.0;Radial;Ø8x12;+105 °C;4000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215051681E3;680.0;50.0;Radial;Ø12.5x25;+105 °C;8000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215030222E3;2200.0;35.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215065332E3;3300.0;16.0;Radial;Ø16x20;+105 °C;7000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215038102E3;1000.0;63.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215031471E3;470.0;50.0;Radial;Ø12.5x20;+105 °C;7000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215039229E3;22.0;100.0;Radial;Ø8x12;+105 °C;4000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215051471E3;470.0;50.0;Radial;Ø12.5x20;+105 °C;7000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
