Part Number;Product Image;Package;Reverse WorkingVoltage(V);Capacitance(pF);LeakageCurrent(µA);Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A);Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W);ProtectableLines;ESD Immunityacc. IEC 61000-4-2(kV);Max. OperatingJunction Temperature(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
VESD33A2-03G-G3;Enlarge;SOT-323;1;192;100;11;70;2;30;150;Yes;image/diodes\86150.png;Datasheet\diodes\VESD33A2-03G-G3\VESD33A2-03G-G3.pdf;Datasheet\diodes\5KASMC10A thru 5KASMC43A\5KASMC10A thru 5KASMC43A.zip
VESD33C1-02V;Enlarge;SOD-523;33;15;0.1;1.6;100;1;15;150;Yes;image/diodes\86130.png;Datasheet\diodes\VESD33C1-02V\VESD33C1-02V.pdf;Datasheet\diodes\5KASMC10A thru 5KASMC43A\5KASMC10A thru 5KASMC43A.zip
VESD33C1-HD1;Enlarge;DFN1006-2A;33;15;0.1;1.6;100;1;15;150;Yes;image/diodes\86185.png;Datasheet\diodes\VESD33C1-HD1\VESD33C1-HD1.pdf;Datasheet\diodes\5KASMC10A thru 5KASMC43A\5KASMC10A thru 5KASMC43A.zip
VETH100A1DD1;Enlarge;DFN1006-2B;24;1.7;0.1;0;0;1;15;150;Yes;image/diodes\86195.png;Datasheet\diodes\VETH100A1DD1\VETH100A1DD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VETH100A203S;Enlarge;SOT-23;24;1.75;0.1;0;0;2;15;150;Yes;image/diodes\86319.png;Datasheet\diodes\VETH100A203S\VETH100A203S.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN1616-02G;Enlarge;SOD-323;16;18;0.05;6;200;1;± 30;150;Yes;image/diodes\85924.png;Datasheet\diodes\VLIN1616-02G\VLIN1616-02G.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN1616-DD1;Enlarge;DFN1006-2B;16;21;0.05;5;160;1;30;150;Yes;image/diodes\86218.png;Datasheet\diodes\VLIN1616-DD1\VLIN1616-DD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN1626-02G;Enlarge;SOD-323;16;15.5;0.05;6;200;1;± 30;150;Yes;image/diodes\85902.png;Datasheet\diodes\VLIN1626-02G\VLIN1626-02G.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN1626-DD1;Enlarge;DFN1006-2B;16;16;0.05;5;160;1;30;150;Yes;image/diodes\86554.png;Datasheet\diodes\VLIN1626-DD1\VLIN1626-DD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN2626-02G;Enlarge;SOD-323;26.5;13.5;0.05;4;200;1;± 30;150;Yes;image/diodes\85915.png;Datasheet\diodes\VLIN2626-02G\VLIN2626-02G.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN2626-DD1;Enlarge;DFN1006-2B;26;13.7;0.05;3.9;175;1;30;150;Yes;image/diodes\86555.png;Datasheet\diodes\VLIN2626-DD1\VLIN2626-DD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN26A1-03G;Enlarge;SOT-323;26.5;10;0.05;3;150;1;± 30;175;Yes;image/diodes\85895.png;Datasheet\diodes\VLIN26A1-03G\VLIN26A1-03G.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VLIN3333-02G;Enlarge;SOD-323;33;11;0.05;3.5;200;1;± 30;150;Yes;image/diodes\86169.png;Datasheet\diodes\VLIN3333-02G\VLIN3333-02G.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VMMBZ16C1DD1;Enlarge;DFN1006-2B;14;14.5;0.01;4;108;1;30;150;Yes;image/diodes\86193.png;Datasheet\diodes\VMMBZ16C1DD1\VMMBZ16C1DD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VMMBZ16C1HD1;Enlarge;DFN1006-2A;14;29;0.01;4;108;1;30;150;Yes;image/diodes\86194.png;Datasheet\diodes\VMMBZ16C1HD1\VMMBZ16C1HD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VMMBZ33C1DD1;Enlarge;DFN1006-2B;28;8;0.01;1.7;100;1;15;150;Yes;image/diodes\86193.png;Datasheet\diodes\VMMBZ33C1DD1\VMMBZ33C1DD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
VMMBZ33C1HD1;Enlarge;DFN1006-2A;28;16.1;0.01;1.7;100;1;15;150;Yes;image/diodes\86194.png;Datasheet\diodes\VMMBZ33C1HD1\VMMBZ33C1HD1.pdf;Datasheet\diodes\5KP8.5A thru 5KP188A\5KP8.5A thru 5KP188A.zip
