Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF;IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
BYWB29-xxx;Enlarge;50 to 200;8;0.8;100;25;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88560.png;Datasheet\diodes\BYWB29-xxx\BYWB29-xxx.pdf;Datasheet\diodes\BYWB29-xxx\BYWB29-xxx.zip
BYWF29-xxx;Enlarge;50 to 200;8;0.8;100;25;150;ITO-220AC;Single;Yes;image/diodes\88560.png;Datasheet\diodes\BYWF29-xxx\BYWF29-xxx.pdf;Datasheet\diodes\BYWF29-xxx\BYWF29-xxx.zip
EGF1A;Enlarge;50;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\98393.png;Datasheet\diodes\EGF1A\EGF1A.pdf;None
EGF1A;Enlarge;50;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\88579.png;Datasheet\diodes\EGF1A\EGF1A.pdf;None
EGF1B;Enlarge;100;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\98393.png;Datasheet\diodes\EGF1B\EGF1B.pdf;None
EGF1B;Enlarge;100;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\88579.png;Datasheet\diodes\EGF1B\EGF1B.pdf;None
EGF1C;Enlarge;150;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\98393.png;Datasheet\diodes\EGF1C\EGF1C.pdf;None
EGF1C;Enlarge;150;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\88579.png;Datasheet\diodes\EGF1C\EGF1C.pdf;None
EGF1D;Enlarge;200;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\98393.png;Datasheet\diodes\EGF1D\EGF1D.pdf;None
EGF1D;Enlarge;200;1;1.0;30;50;175;GF1 (DO-214BA);Single;Yes;image/diodes\88579.png;Datasheet\diodes\EGF1D\EGF1D.pdf;None
EGF1T;Enlarge;1300;1;3.0;20;75;150;GF1 (DO-214BA);Single;Yes;image/diodes\98392.png;Datasheet\diodes\EGF1T\EGF1T.pdf;None
EGF1T;Enlarge;1300;1;3.0;20;75;150;GF1 (DO-214BA);Single;Yes;image/diodes\88904.png;Datasheet\diodes\EGF1T\EGF1T.pdf;None
EGL34x;Enlarge;50 to 400;0.5;see datasheet;10;50;175;GL34 (DO-213AA);Single;No;image/diodes\88580.png;Datasheet\diodes\EGL34x\EGL34x.pdf;Datasheet\diodes\EGL34x\EGL34x.zip
EGL41x;Enlarge;50 to 400;1;see datasheet;30;50;175;GL41 (DO-213AB);Single;No;image/diodes\88581.png;Datasheet\diodes\EGL41x\EGL41x.pdf;Datasheet\diodes\EGL41x\EGL41x.zip
ES07B;Enlarge;100;1.2;0.98;30;25;150;SMF (DO-219AB);Single;Yes;image/diodes\85737.png;Datasheet\diodes\ES07B\ES07B.pdf;None
ES07B-M;Enlarge;100;1.2;0.98;30;25;150;SMF (DO-219AB);Single;Yes;image/diodes\85192.png;Datasheet\diodes\ES07B-M\ES07B-M.pdf;Datasheet\diodes\ES07B-M\ES07B-M.zip
ES07D;Enlarge;200;1.2;0.98;30;25;150;SMF (DO-219AB);Single;Yes;image/diodes\85737.png;Datasheet\diodes\ES07D\ES07D.pdf;None
ES07D-M;Enlarge;200;1.2;0.98;30;25;150;SMF (DO-219AB);Single;Yes;image/diodes\85192.png;Datasheet\diodes\ES07D-M\ES07D-M.pdf;Datasheet\diodes\ES07D-M\ES07D-M.zip
ES1A;Enlarge;50;1;0.92;30;15;150;SMA (DO-214AC);Single;Yes;image/diodes\88586.png;Datasheet\diodes\ES1A\ES1A.pdf;Datasheet\diodes\ES1A\ES1A.zip
ES1B;Enlarge;100;1;0.92;30;15;150;SMA (DO-214AC);Single;Yes;image/diodes\88586.png;Datasheet\diodes\ES1B\ES1B.pdf;Datasheet\diodes\ES1B\ES1B.zip
ES1C;Enlarge;150;1;0.92;30;15;150;SMA (DO-214AC);Single;Yes;image/diodes\88586.png;Datasheet\diodes\ES1C\ES1C.pdf;Datasheet\diodes\ES1C\ES1C.zip
ES1D;Enlarge;200;1;0.92;30;15;150;SMA (DO-214AC);Single;Yes;image/diodes\88586.png;Datasheet\diodes\ES1D\ES1D.pdf;Datasheet\diodes\ES1D\ES1D.zip
ES1PB;Enlarge;100;1;0.92;30;15;150;SMP (DO-220AA);Single;Yes;image/diodes\88918.png;Datasheet\diodes\ES1PB\ES1PB.pdf;Datasheet\diodes\ES1PB\ES1PB.zip
