Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF;IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
FEP30xP-E3;Enlarge;150;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEP30xP-E3;Enlarge;200;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEP30xP-E3;Enlarge;300;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEP30xP-E3;Enlarge;400;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEP30xP-E3;Enlarge;500;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEP30xP-E3;Enlarge;600;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEPB16xT;Enlarge;50 to 600;2 x 8.0;see datasheet;200;35;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88596.png;Datasheet\diodes\FEPB16xT\FEPB16xT.pdf;Datasheet\diodes\FEPB16xT\FEPB16xT.zip
FEPF16xT;Enlarge;300 to 600;2 x 8.0;see datasheet;125;50;150;ITO-220AB;Common cathode;Yes;image/diodes\98357.png;Datasheet\diodes\FEPF16xT\FEPF16xT.pdf;None
FES16xT;Enlarge;50 to 600;16;see datasheet;250;35;150;TO-220AC;Single;Yes;image/diodes\88599.png;Datasheet\diodes\FES16xT\FES16xT.pdf;Datasheet\diodes\FES16xT\FES16xT.zip
FES8xT;Enlarge;50 to 600;8;see datasheet;125;35;150;TO-220AC;Single;Yes;image/diodes\88600.png;Datasheet\diodes\FES8xT\FES8xT.pdf;Datasheet\diodes\FES8xT\FES8xT.zip
FESB16xT;Enlarge;50 to 600;16;see datasheet;250;35;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88599.png;Datasheet\diodes\FESB16xT\FESB16xT.pdf;Datasheet\diodes\FESB16xT\FESB16xT.zip
FESB8xT;Enlarge;50 to 600;8;see datasheet;125;35;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88600.png;Datasheet\diodes\FESB8xT\FESB8xT.pdf;Datasheet\diodes\FESB8xT\FESB8xT.zip
FESF16xT;Enlarge;50 to 600;16;see datasheet;250;35;150;ITO-220AC;Single;Yes;image/diodes\88599.png;Datasheet\diodes\FESF16xT\FESF16xT.pdf;Datasheet\diodes\FESF16xT\FESF16xT.zip
FESF8xT;Enlarge;50 to 600;8;see datasheet;125;35;150;ITO-220AC;Single;Yes;image/diodes\88600.png;Datasheet\diodes\FESF8xT\FESF8xT.pdf;Datasheet\diodes\FESF8xT\FESF8xT.zip
GI1401;Enlarge;50;8;0.895;125;35;150;TO-220AC;Single;No;image/diodes\88623.png;Datasheet\diodes\GI1401\GI1401.pdf;None
GI1402;Enlarge;100;8;0.895;125;35;150;TO-220AC;Single;No;image/diodes\88623.png;Datasheet\diodes\GI1402\GI1402.pdf;None
GI1403;Enlarge;150;8;0.895;125;35;150;TO-220AC;Single;No;image/diodes\88623.png;Datasheet\diodes\GI1403\GI1403.pdf;None
GI1404;Enlarge;200;8;0.895;125;35;150;TO-220AC;Single;No;image/diodes\88623.png;Datasheet\diodes\GI1404\GI1404.pdf;None
GI2401;Enlarge;50;16;0.895;125;35;150;TO-220AB;Common cathode;No;image/diodes\88624.png;Datasheet\diodes\GI2401\GI2401.pdf;None
GI2402;Enlarge;100;16;0.895;125;35;150;TO-220AB;Common cathode;No;image/diodes\88624.png;Datasheet\diodes\GI2402\GI2402.pdf;None
GI2403;Enlarge;150;16;0.895;125;35;150;TO-220AB;Common cathode;No;image/diodes\88624.png;Datasheet\diodes\GI2403\GI2403.pdf;None
GI2404;Enlarge;200;16;0.895;125;35;150;TO-220AB;Common cathode;No;image/diodes\88624.png;Datasheet\diodes\GI2404\GI2404.pdf;None
GIB1404;Enlarge;200;8;0.895;125;35;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88632.png;Datasheet\diodes\GIB1404\GIB1404.pdf;Datasheet\diodes\GIB1404\GIB1404.zip
GIB2404;Enlarge;200;16;0.895;125;35;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88633.png;Datasheet\diodes\GIB2404\GIB2404.pdf;Datasheet\diodes\GIB2404\GIB2404.zip
MUH1PB;Enlarge;100;1;0.82;10;25;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\89124.png;Datasheet\diodes\MUH1PB\MUH1PB.pdf;Datasheet\diodes\MUH1PB\MUH1PB.zip
MUH1PC;Enlarge;150;1;0.82;10;25;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\89124.png;Datasheet\diodes\MUH1PC\MUH1PC.pdf;Datasheet\diodes\MUH1PC\MUH1PC.zip
MUR420;Enlarge;200;4;0.710;150;25;175;DO-201AD;Single;No;image/diodes\88685.png;Datasheet\diodes\MUR420\MUR420.pdf;None
MUR440;Enlarge;400;4;1.05;150;50;175;DO-201AD;Single;No;image/diodes\88686.png;Datasheet\diodes\MUR440\MUR440.pdf;Datasheet\diodes\MUR440\MUR440.zip
MUR460;Enlarge;600;4;1.05;150;50;175;DO-201AD;Single;No;image/diodes\88686.png;Datasheet\diodes\MUR460\MUR460.pdf;Datasheet\diodes\MUR460\MUR460.zip
MURS120;Enlarge;200;1;0.71;40;25;175;SMB (DO-214AA);Single;Yes;image/diodes\88687.png;Datasheet\diodes\MURS120\MURS120.pdf;Datasheet\diodes\MURS120\MURS120.zip
MURS120-M3;Enlarge;200;1;0.71;40;25;175;SMB (DO-214AA);Single;No;image/diodes\89485.png;Datasheet\diodes\MURS120-M3\MURS120-M3.pdf;Datasheet\diodes\MURS120-M3\MURS120-M3.zip
MURS140;Enlarge;400;1;1.05;35;50;175;SMB (DO-214AA);Single;Yes;image/diodes\88688.png;Datasheet\diodes\MURS140\MURS140.pdf;Datasheet\diodes\MURS140\MURS140.zip
MURS140-M3;Enlarge;400;1;1.05;35;50;175;SMB (DO-214AA);Single;No;image/diodes\89462.png;Datasheet\diodes\MURS140-M3\MURS140-M3.pdf;Datasheet\diodes\MURS140-M3\MURS140-M3.zip
MURS160;Enlarge;600;1;1.05;35;50;175;SMB (DO-214AA);Single;Yes;image/diodes\88688.png;Datasheet\diodes\MURS160\MURS160.pdf;Datasheet\diodes\MURS160\MURS160.zip
MURS160-M3;Enlarge;600;1;1.05;35;50;175;SMB (DO-214AA);Single;No;image/diodes\89462.png;Datasheet\diodes\MURS160-M3\MURS160-M3.pdf;Datasheet\diodes\MURS160-M3\MURS160-M3.zip
MURS240;Enlarge;400;2;1.20;35;50;175;SMB (DO-214AA);Single;Yes;image/diodes\88971.png;Datasheet\diodes\MURS240\MURS240.pdf;Datasheet\diodes\MURS240\MURS240.zip
MURS240-M3;Enlarge;400;2;1.20;35;50;175;SMB (DO-214AA);Single;No;image/diodes\89922.png;Datasheet\diodes\MURS240-M3\MURS240-M3.pdf;Datasheet\diodes\MURS240-M3\MURS240-M3.zip
MURS260;Enlarge;600;2;1.20;35;50;175;SMB (DO-214AA);Single;Yes;image/diodes\88971.png;Datasheet\diodes\MURS260\MURS260.pdf;Datasheet\diodes\MURS260\MURS260.zip
MURS260-M3;Enlarge;600;2;1.20;35;50;175;SMB (DO-214AA);Single;No;image/diodes\89922.png;Datasheet\diodes\MURS260-M3\MURS260-M3.pdf;Datasheet\diodes\MURS260-M3\MURS260-M3.zip
MURS320;Enlarge;200;3;0.71;125;25;175;SMC (DO-214AB);Single;Yes;image/diodes\88689.png;Datasheet\diodes\MURS320\MURS320.pdf;Datasheet\diodes\MURS320\MURS320.zip
MURS320-M3;Enlarge;200;3;0.71;125;25;175;SMC (DO-214AB);Single;No;image/diodes\89490.png;Datasheet\diodes\MURS320-M3\MURS320-M3.pdf;Datasheet\diodes\MURS320-M3\MURS320-M3.zip
MURS340;Enlarge;400;3;1.05;125;50;175;SMC (DO-214AB);Single;Yes;image/diodes\88816.png;Datasheet\diodes\MURS340\MURS340.pdf;Datasheet\diodes\MURS340\MURS340.zip
MURS340S;Enlarge;400;3;1.20;35;50;175;SMB (DO-214AA);Single;Yes;image/diodes\89110.png;Datasheet\diodes\MURS340S\MURS340S.pdf;Datasheet\diodes\MURS340S\MURS340S.zip
