Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V);IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;Snap factor;AEC-Q101Qualified;Image path;Datasheet part;3d model part
1N5398;Enlarge;800;1.5;1.4;50;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88514.png;Datasheet/diodes/standard-recovery/1N5398/1N5398.pdf;None
1N5399;Enlarge;1000;1.5;1.4;50;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88514.png;Datasheet/diodes/standard-recovery/1N5399/1N5399.pdf;None
1N5400;Enlarge;50;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5400/1N5400.pdf;Datasheet/diodes/standard-recovery/1N5400/1N5400.zip
1N5401;Enlarge;100;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5401/1N5401.pdf;Datasheet/diodes/standard-recovery/1N5401/1N5401.zip
1N5402;Enlarge;200;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5402/1N5402.pdf;Datasheet/diodes/standard-recovery/1N5402/1N5402.zip
1N5403;Enlarge;300;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5403/1N5403.pdf;Datasheet/diodes/standard-recovery/1N5403/1N5403.zip
1N5404;Enlarge;400;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5404/1N5404.pdf;Datasheet/diodes/standard-recovery/1N5404/1N5404.zip
1N5405;Enlarge;500;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5405/1N5405.pdf;Datasheet/diodes/standard-recovery/1N5405/1N5405.zip
1N5406;Enlarge;600;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5406/1N5406.pdf;Datasheet/diodes/standard-recovery/1N5406/1N5406.zip
1N5407;Enlarge;800;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5407/1N5407.pdf;Datasheet/diodes/standard-recovery/1N5407/1N5407.zip
1N5408;Enlarge;1000;3;1.2;200;;150;DO-201AD;Single die;;No;image/diodes/88516.png;Datasheet/diodes/standard-recovery/1N5408/1N5408.pdf;Datasheet/diodes/standard-recovery/1N5408/1N5408.zip
1N5417;Enlarge;200;3;1.1 at 3;100;100;175;SOD-64;;;No;image/diodes/86097.png;Datasheet/diodes/standard-recovery/1N5417/1N5417.pdf;Datasheet/diodes/standard-recovery/1N5417/1N5417.zip
1N5418;Enlarge;400;3;1.1 at 3;100;100;175;SOD-64;;;No;image/diodes/86097.png;Datasheet/diodes/standard-recovery/1N5418/1N5418.pdf;Datasheet/diodes/standard-recovery/1N5418/1N5418.zip
1N5624;Enlarge;200;3;1 at 3;100;5000;175;SOD-64;;;No;image/diodes/86063.png;Datasheet/diodes/standard-recovery/1N5624/1N5624.pdf;Datasheet/diodes/standard-recovery/1N5624/1N5624.zip
1N5625;Enlarge;400;3;1 at 3;100;5000;175;SOD-64;;;No;image/diodes/86063.png;Datasheet/diodes/standard-recovery/1N5625/1N5625.pdf;Datasheet/diodes/standard-recovery/1N5625/1N5625.zip
1N5626;Enlarge;600;3;1 at 3;100;5000;175;SOD-64;;;No;image/diodes/86063.png;Datasheet/diodes/standard-recovery/1N5626/1N5626.pdf;Datasheet/diodes/standard-recovery/1N5626/1N5626.zip
1N5627;Enlarge;800;3;1 at 3;100;5000;175;SOD-64;;;No;image/diodes/86063.png;Datasheet/diodes/standard-recovery/1N5627/1N5627.pdf;Datasheet/diodes/standard-recovery/1N5627/1N5627.zip
1N6478;Enlarge;50;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6478/1N6478.pdf;None
1N6479;Enlarge;100;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6479/1N6479.pdf;None
1N6480;Enlarge;200;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6480/1N6480.pdf;None
1N6481;Enlarge;400;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6481/1N6481.pdf;None
1N6482;Enlarge;600;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6482/1N6482.pdf;None
1N6483;Enlarge;800;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6483/1N6483.pdf;None
1N6484;Enlarge;1000;1;1.1;30;;175;GL41 (DO-213AB);Single;;No;image/diodes/88527.png;Datasheet/diodes/standard-recovery/1N6484/1N6484.pdf;None
