Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V);IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;Snap factor;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BYM36C;Enlarge;600;3;1.6 at 3;65;100;175;SOD-64;;;No;image/diodes/86012.png;Datasheet/diodes/standard-recovery/BYM36C/BYM36C.pdf;Datasheet/diodes/standard-recovery/BYM36C/BYM36C.zip
BYM36D;Enlarge;800;2.9;1.78 at 3;65;150;175;SOD-64;;;No;image/diodes/86012.png;Datasheet/diodes/standard-recovery/BYM36D/BYM36D.pdf;Datasheet/diodes/standard-recovery/BYM36D/BYM36D.zip
BYM36E;Enlarge;1000;2.9;1.78 at 3;65;150;175;SOD-64;;;No;image/diodes/86012.png;Datasheet/diodes/standard-recovery/BYM36E/BYM36E.pdf;Datasheet/diodes/standard-recovery/BYM36E/BYM36E.zip
BYT51A;Enlarge;50;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51A/BYT51A.pdf;Datasheet/diodes/standard-recovery/BYT51A/BYT51A.zip
BYT51B;Enlarge;100;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51B/BYT51B.pdf;Datasheet/diodes/standard-recovery/BYT51B/BYT51B.zip
BYT51D;Enlarge;200;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51D/BYT51D.pdf;Datasheet/diodes/standard-recovery/BYT51D/BYT51D.zip
BYT51G;Enlarge;400;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51G/BYT51G.pdf;Datasheet/diodes/standard-recovery/BYT51G/BYT51G.zip
BYT51J;Enlarge;600;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51J/BYT51J.pdf;Datasheet/diodes/standard-recovery/BYT51J/BYT51J.zip
BYT51K;Enlarge;800;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51K/BYT51K.pdf;Datasheet/diodes/standard-recovery/BYT51K/BYT51K.zip
BYT51M;Enlarge;1000;1.5;1.1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86028.png;Datasheet/diodes/standard-recovery/BYT51M/BYT51M.pdf;Datasheet/diodes/standard-recovery/BYT51M/BYT51M.zip
BYT52A;Enlarge;50;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52A/BYT52A.pdf;Datasheet/diodes/standard-recovery/BYT52A/BYT52A.zip
BYT52B;Enlarge;100;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52B/BYT52B.pdf;Datasheet/diodes/standard-recovery/BYT52B/BYT52B.zip
BYT52D;Enlarge;200;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52D/BYT52D.pdf;Datasheet/diodes/standard-recovery/BYT52D/BYT52D.zip
BYT52G;Enlarge;400;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52G/BYT52G.pdf;Datasheet/diodes/standard-recovery/BYT52G/BYT52G.zip
BYT52J;Enlarge;600;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52J/BYT52J.pdf;Datasheet/diodes/standard-recovery/BYT52J/BYT52J.zip
BYT52K;Enlarge;800;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52K/BYT52K.pdf;Datasheet/diodes/standard-recovery/BYT52K/BYT52K.zip
BYT52M;Enlarge;1000;1.4;1.3 at 1;50;200;175;SOD-57;;;No;image/diodes/86029.png;Datasheet/diodes/standard-recovery/BYT52M/BYT52M.pdf;Datasheet/diodes/standard-recovery/BYT52M/BYT52M.zip
BYT54A;Enlarge;50;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54A/BYT54A.pdf;Datasheet/diodes/standard-recovery/BYT54A/BYT54A.zip
BYT54B;Enlarge;100;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54B/BYT54B.pdf;Datasheet/diodes/standard-recovery/BYT54B/BYT54B.zip
BYT54D;Enlarge;200;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54D/BYT54D.pdf;Datasheet/diodes/standard-recovery/BYT54D/BYT54D.zip
BYT54G;Enlarge;400;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54G/BYT54G.pdf;Datasheet/diodes/standard-recovery/BYT54G/BYT54G.zip
BYT54J;Enlarge;600;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54J/BYT54J.pdf;Datasheet/diodes/standard-recovery/BYT54J/BYT54J.zip
BYT54K;Enlarge;800;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54K/BYT54K.pdf;Datasheet/diodes/standard-recovery/BYT54K/BYT54K.zip
BYT54M;Enlarge;1000;1.25;1.5 at 1;30;100;175;SOD-57;;;No;image/diodes/86031.png;Datasheet/diodes/standard-recovery/BYT54M/BYT54M.pdf;Datasheet/diodes/standard-recovery/BYT54M/BYT54M.zip
BYT56A;Enlarge;50;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56A/BYT56A.pdf;Datasheet/diodes/standard-recovery/BYT56A/BYT56A.zip
BYT56B;Enlarge;100;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56B/BYT56B.pdf;Datasheet/diodes/standard-recovery/BYT56B/BYT56B.zip
BYT56D;Enlarge;200;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56D/BYT56D.pdf;Datasheet/diodes/standard-recovery/BYT56D/BYT56D.zip
BYT56G;Enlarge;400;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56G/BYT56G.pdf;Datasheet/diodes/standard-recovery/BYT56G/BYT56G.zip
BYT56J;Enlarge;600;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56J/BYT56J.pdf;Datasheet/diodes/standard-recovery/BYT56J/BYT56J.zip
BYT56K;Enlarge;800;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56K/BYT56K.pdf;Datasheet/diodes/standard-recovery/BYT56K/BYT56K.zip
BYT56M;Enlarge;1000;3;1.4 at 3;80;100;175;SOD-64;;;No;image/diodes/86032.png;Datasheet/diodes/standard-recovery/BYT56M/BYT56M.pdf;Datasheet/diodes/standard-recovery/BYT56M/BYT56M.zip
BYT62;Enlarge;2400;0.35;3 at 0.2;10;5000;175;SOD-57;;;No;image/diodes/86033.png;Datasheet/diodes/standard-recovery/BYT62/BYT62.pdf;Datasheet/diodes/standard-recovery/BYT62/BYT62.zip
BYT77;Enlarge;800;3;1.2 at 3;100;250;175;SOD-64;;;No;image/diodes/86034.png;Datasheet/diodes/standard-recovery/BYT77/BYT77.pdf;Datasheet/diodes/standard-recovery/BYT77/BYT77.zip
BYT78;Enlarge;1000;3;1.2 at 3;100;250;175;SOD-64;;;No;image/diodes/86034.png;Datasheet/diodes/standard-recovery/BYT78/BYT78.pdf;Datasheet/diodes/standard-recovery/BYT78/BYT78.zip
BYV12;Enlarge;100;1.5;1.5 at 1;40;300;175;SOD-57;;;No;image/diodes/86039.png;Datasheet/diodes/standard-recovery/BYV12/BYV12.pdf;Datasheet/diodes/standard-recovery/BYV12/BYV12.zip
BYV13;Enlarge;400;1.5;1.5 at 1;40;300;175;SOD-57;;;No;image/diodes/86039.png;Datasheet/diodes/standard-recovery/BYV13/BYV13.pdf;Datasheet/diodes/standard-recovery/BYV13/BYV13.zip
BYV14;Enlarge;600;1.5;1.5 at 1;40;300;175;SOD-57;;;No;image/diodes/86039.png;Datasheet/diodes/standard-recovery/BYV14/BYV14.pdf;Datasheet/diodes/standard-recovery/BYV14/BYV14.zip
BYV15;Enlarge;800;1.5;1.5 at 1;40;300;175;SOD-57;;;No;image/diodes/86039.png;Datasheet/diodes/standard-recovery/BYV15/BYV15.pdf;Datasheet/diodes/standard-recovery/BYV15/BYV15.zip
BYV16;Enlarge;1000;1.5;1.5 at 1;40;300;175;SOD-57;;;No;image/diodes/86039.png;Datasheet/diodes/standard-recovery/BYV16/BYV16.pdf;Datasheet/diodes/standard-recovery/BYV16/BYV16.zip
BYV37;Enlarge;800;2;1.1 at 1;50;300;175;SOD-57;;;No;image/diodes/86045.png;Datasheet/diodes/standard-recovery/BYV37/BYV37.pdf;Datasheet/diodes/standard-recovery/BYV37/BYV37.zip
BYV38;Enlarge;1000;2;1.1 at 1;50;300;175;SOD-57;;;No;image/diodes/86045.png;Datasheet/diodes/standard-recovery/BYV38/BYV38.pdf;Datasheet/diodes/standard-recovery/BYV38/BYV38.zip
BYW172D;Enlarge;200;3;1.1 at 3;100;100;175;SOD-64;;;No;image/diodes/86096.png;Datasheet/diodes/standard-recovery/BYW172D/BYW172D.pdf;Datasheet/diodes/standard-recovery/BYW172D/BYW172D.zip
BYW172F;Enlarge;300;3;1.1 at 3;100;100;175;SOD-64;;;No;image/diodes/86096.png;Datasheet/diodes/standard-recovery/BYW172F/BYW172F.pdf;Datasheet/diodes/standard-recovery/BYW172F/BYW172F.zip
BYW172G;Enlarge;400;3;1.1 at 3;100;100;175;SOD-64;;;No;image/diodes/86096.png;Datasheet/diodes/standard-recovery/BYW172G/BYW172G.pdf;Datasheet/diodes/standard-recovery/BYW172G/BYW172G.zip
BYW178;Enlarge;800;3;1.9 at 3;80;60;175;SOD-64;;;No;image/diodes/86047.png;Datasheet/diodes/standard-recovery/BYW178/BYW178.pdf;Datasheet/diodes/standard-recovery/BYW178/BYW178.zip
BYW32;Enlarge;200;2;1.1 at 1;50;200;175;SOD-57;;;No;image/diodes/86048.png;Datasheet/diodes/standard-recovery/BYW32/BYW32.pdf;Datasheet/diodes/standard-recovery/BYW32/BYW32.zip
BYW33;Enlarge;300;2;1.1 at 1;50;200;175;SOD-57;;;No;image/diodes/86048.png;Datasheet/diodes/standard-recovery/BYW33/BYW33.pdf;Datasheet/diodes/standard-recovery/BYW33/BYW33.zip
BYW34;Enlarge;400;2;1.1 at 1;50;200;175;SOD-57;;;No;image/diodes/86048.png;Datasheet/diodes/standard-recovery/BYW34/BYW34.pdf;Datasheet/diodes/standard-recovery/BYW34/BYW34.zip
BYW35;Enlarge;500;2;1.1 at 1;50;200;175;SOD-57;;;No;image/diodes/86048.png;Datasheet/diodes/standard-recovery/BYW35/BYW35.pdf;Datasheet/diodes/standard-recovery/BYW35/BYW35.zip
BYW36;Enlarge;600;2;1.1 at 1;50;200;175;SOD-57;;;No;image/diodes/86048.png;Datasheet/diodes/standard-recovery/BYW36/BYW36.pdf;Datasheet/diodes/standard-recovery/BYW36/BYW36.zip
BYW52;Enlarge;200;2;1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86049.png;Datasheet/diodes/standard-recovery/BYW52/BYW52.pdf;Datasheet/diodes/standard-recovery/BYW52/BYW52.zip
BYW53;Enlarge;400;2;1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86049.png;Datasheet/diodes/standard-recovery/BYW53/BYW53.pdf;Datasheet/diodes/standard-recovery/BYW53/BYW53.zip
BYW54;Enlarge;600;2;1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86049.png;Datasheet/diodes/standard-recovery/BYW54/BYW54.pdf;Datasheet/diodes/standard-recovery/BYW54/BYW54.zip
BYW55;Enlarge;800;2;1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86049.png;Datasheet/diodes/standard-recovery/BYW55/BYW55.pdf;Datasheet/diodes/standard-recovery/BYW55/BYW55.zip
BYW56;Enlarge;1000;2;1 at 1;50;4000;175;SOD-57;;;Yes;image/diodes/86049.png;Datasheet/diodes/standard-recovery/BYW56/BYW56.pdf;Datasheet/diodes/standard-recovery/BYW56/BYW56.zip
BYW72;Enlarge;200;3;1.1 at 3;100;200;175;SOD-64;;;No;image/diodes/86050.png;Datasheet/diodes/standard-recovery/BYW72/BYW72.pdf;Datasheet/diodes/standard-recovery/BYW72/BYW72.zip
BYW73;Enlarge;300;3;1.1 at 3;100;200;175;SOD-64;;;No;image/diodes/86050.png;Datasheet/diodes/standard-recovery/BYW73/BYW73.pdf;Datasheet/diodes/standard-recovery/BYW73/BYW73.zip
BYW74;Enlarge;400;3;1.1 at 3;100;200;175;SOD-64;;;No;image/diodes/86050.png;Datasheet/diodes/standard-recovery/BYW74/BYW74.pdf;Datasheet/diodes/standard-recovery/BYW74/BYW74.zip
BYW75;Enlarge;500;3;1.1 at 3;100;200;175;SOD-64;;;No;image/diodes/86050.png;Datasheet/diodes/standard-recovery/BYW75/BYW75.pdf;Datasheet/diodes/standard-recovery/BYW75/BYW75.zip
BYW76;Enlarge;600;3;1.1 at 3;100;200;175;SOD-64;;;No;image/diodes/86050.png;Datasheet/diodes/standard-recovery/BYW76/BYW76.pdf;Datasheet/diodes/standard-recovery/BYW76/BYW76.zip
BYW82;Enlarge;200;3;1 at 3;100;5000;175;SOD-64;;;Yes;image/diodes/86051.png;Datasheet/diodes/standard-recovery/BYW82/BYW82.pdf;Datasheet/diodes/standard-recovery/BYW82/BYW82.zip
BYW83;Enlarge;400;3;1 at 3;100;5000;175;SOD-64;;;Yes;image/diodes/86051.png;Datasheet/diodes/standard-recovery/BYW83/BYW83.pdf;Datasheet/diodes/standard-recovery/BYW83/BYW83.zip
BYW84;Enlarge;600;3;1 at 3;100;5000;175;SOD-64;;;Yes;image/diodes/86051.png;Datasheet/diodes/standard-recovery/BYW84/BYW84.pdf;Datasheet/diodes/standard-recovery/BYW84/BYW84.zip
BYW85;Enlarge;800;3;1 at 3;100;5000;175;SOD-64;;;Yes;image/diodes/86051.png;Datasheet/diodes/standard-recovery/BYW85/BYW85.pdf;Datasheet/diodes/standard-recovery/BYW85/BYW85.zip
BYW86;Enlarge;1000;3;1 at 3;100;5000;175;SOD-64;;;Yes;image/diodes/86051.png;Datasheet/diodes/standard-recovery/BYW86/BYW86.pdf;Datasheet/diodes/standard-recovery/BYW86/BYW86.zip
BYX82;Enlarge;200;2;1 at 1;50;4000;175;SOD-57;;;No;image/diodes/86052.png;Datasheet/diodes/standard-recovery/BYX82/BYX82.pdf;Datasheet/diodes/standard-recovery/BYX82/BYX82.zip
BYX83;Enlarge;400;2;1 at 1;50;4000;175;SOD-57;;;No;image/diodes/86052.png;Datasheet/diodes/standard-recovery/BYX83/BYX83.pdf;Datasheet/diodes/standard-recovery/BYX83/BYX83.zip
BYX84;Enlarge;600;2;1 at 1;50;4000;175;SOD-57;;;No;image/diodes/86052.png;Datasheet/diodes/standard-recovery/BYX84/BYX84.pdf;Datasheet/diodes/standard-recovery/BYX84/BYX84.zip
BYX85;Enlarge;800;2;1 at 1;50;4000;175;SOD-57;;;No;image/diodes/86052.png;Datasheet/diodes/standard-recovery/BYX85/BYX85.pdf;Datasheet/diodes/standard-recovery/BYX85/BYX85.zip
BYX86;Enlarge;1000;2;1 at 1;50;4000;175;SOD-57;;;No;image/diodes/86052.png;Datasheet/diodes/standard-recovery/BYX86/BYX86.pdf;Datasheet/diodes/standard-recovery/BYX86/BYX86.zip
GF1A;;50;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1A/GF1A.pdf;Datasheet/diodes/standard-recovery/GF1A/GF1A.zip
GF1A;Enlarge;50;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1A/GF1A.pdf;Datasheet/diodes/standard-recovery/GF1A/GF1A.zip
GF1B;;100;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1B/GF1B.pdf;Datasheet/diodes/standard-recovery/GF1B/GF1B.zip
GF1B;Enlarge;100;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1B/GF1B.pdf;Datasheet/diodes/standard-recovery/GF1B/GF1B.zip
GF1D;;200;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1D/GF1D.pdf;Datasheet/diodes/standard-recovery/GF1D/GF1D.zip
GF1D;Enlarge;200;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1D/GF1D.pdf;Datasheet/diodes/standard-recovery/GF1D/GF1D.zip
GF1G;;400;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88617.png;Datasheet/diodes/standard-recovery/GF1G/GF1G.pdf;Datasheet/diodes/standard-recovery/GF1G/GF1G.zip
GF1G;Enlarge;400;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1G/GF1G.pdf;Datasheet/diodes/standard-recovery/GF1G/GF1G.zip
GF1J;;600;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1J/GF1J.pdf;Datasheet/diodes/standard-recovery/GF1J/GF1J.zip
GF1J;Enlarge;600;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1J/GF1J.pdf;Datasheet/diodes/standard-recovery/GF1J/GF1J.zip
GF1K;;800;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1K/GF1K.pdf;Datasheet/diodes/standard-recovery/GF1K/GF1K.zip
GF1K;Enlarge;800;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1K/GF1K.pdf;Datasheet/diodes/standard-recovery/GF1K/GF1K.zip
GF1M;;1000;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1M/GF1M.pdf;Datasheet/diodes/standard-recovery/GF1M/GF1M.zip
GF1M;Enlarge;1000;1;see datasheet;30;;175;GF1 (DO-214BA);Single;;Yes;image/diodes/88626.png;Datasheet/diodes/standard-recovery/GF1M/GF1M.pdf;Datasheet/diodes/standard-recovery/GF1M/GF1M.zip
GI500;Enlarge;50;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88627.png;Datasheet/diodes/standard-recovery/GI500/GI500.pdf;None
GI501;Enlarge;100;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88627.png;Datasheet/diodes/standard-recovery/GI501/GI501.pdf;None
GI502;Enlarge;200;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88627.png;Datasheet/diodes/standard-recovery/GI502/GI502.pdf;None
GI504;Enlarge;400;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88627.png;Datasheet/diodes/standard-recovery/GI504/GI504.pdf;None
GI506;Enlarge;600;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88627.png;Datasheet/diodes/standard-recovery/GI506/GI506.pdf;None
GI508;Enlarge;800;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88627.png;Datasheet/diodes/standard-recovery/GI508/GI508.pdf;None
GI510;Enlarge;1000;3;1.1;100;;150;DO-201AD;Single die;;No;image/diodes/88634.png;Datasheet/diodes/standard-recovery/GI510/GI510.pdf;None
GI750;Enlarge;50;6;see datasheet;400;;150;P600;Single die;;No;image/diodes/88634.png;Datasheet/diodes/standard-recovery/GI750/GI750.pdf;Datasheet/diodes/standard-recovery/GI750/GI750.zip
GI751;Enlarge;100;6;see datasheet;400;;150;P600;Single die;;No;image/diodes/88634.png;Datasheet/diodes/standard-recovery/GI751/GI751.pdf;Datasheet/diodes/standard-recovery/GI751/GI751.zip
GI752;Enlarge;200;6;see datasheet;400;;150;P600;Single die;;No;image/diodes/88634.png;Datasheet/diodes/standard-recovery/GI752/GI752.pdf;Datasheet/diodes/standard-recovery/GI752/GI752.zip
GI754;Enlarge;400;6;see datasheet;400;;150;P600;Single die;;No;image/diodes/88634.png;Datasheet/diodes/standard-recovery/GI754/GI754.pdf;Datasheet/diodes/standard-recovery/GI754/GI754.zip
GI756;Enlarge;600;6;see datasheet;400;;150;P600;Single die;;No;image/diodes/88546.png;Datasheet/diodes/standard-recovery/GI756/GI756.pdf;Datasheet/diodes/standard-recovery/GI756/GI756.zip
GI758;Enlarge;800;6;see datasheet;400;;150;P600;Single die;;No;image/diodes/88546.png;Datasheet/diodes/standard-recovery/GI758/GI758.pdf;Datasheet/diodes/standard-recovery/GI758/GI758.zip
GL34A;Enlarge;50;0.5;see datasheet;10;;175;GL34 (DO-213AA);Single;;No;image/diodes/88635.png;Datasheet/diodes/standard-recovery/GL34A/GL34A.pdf;Datasheet/diodes/standard-recovery/GL34A/GL34A.zip
GL34B;Enlarge;100;0.5;see datasheet;10;;175;GL34 (DO-213AA);Single;;No;image/diodes/88635.png;Datasheet/diodes/standard-recovery/GL34B/GL34B.pdf;Datasheet/diodes/standard-recovery/GL34B/GL34B.zip
GL34D;Enlarge;200;0.5;see datasheet;10;;175;GL34 (DO-213AA);Single;;No;image/diodes/88635.png;Datasheet/diodes/standard-recovery/GL34D/GL34D.pdf;Datasheet/diodes/standard-recovery/GL34D/GL34D.zip
GL34G;Enlarge;400;0.5;see datasheet;10;;175;GL34 (DO-213AA);Single;;No;image/diodes/88635.png;Datasheet/diodes/standard-recovery/GL34G/GL34G.pdf;Datasheet/diodes/standard-recovery/GL34G/GL34G.zip
GL34J;Enlarge;600;0.5;see datasheet;10;;175;GL34 (DO-213AA);Single;;No;image/diodes/88635.png;Datasheet/diodes/standard-recovery/GL34J/GL34J.pdf;Datasheet/diodes/standard-recovery/GL34J/GL34J.zip
GL41x;Enlarge;50 to 1000;1;see datasheet;30;;175;MELF (DO-213AB);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GL41x/GL41x.pdf;Datasheet/diodes/standard-recovery/GL41x/GL41x.zip
GL41x;Enlarge;50 to 1600;1;see datasheet;30;;175;MELF (DO-213AB);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GL41x/GL41x.pdf;Datasheet/diodes/standard-recovery/GL41x/GL41x.zip
GP02-20;Enlarge;2000;0.25;3.0;15;;175;DO-41 (DO-204AL);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GP02-20/GP02-20.pdf;Datasheet/diodes/standard-recovery/GP02-20/GP02-20.zip
GP02-25;Enlarge;2500;0.25;3.0;15;;175;DO-41 (DO-204AL);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GP02-25/GP02-25.pdf;Datasheet/diodes/standard-recovery/GP02-25/GP02-25.zip
GP02-30;Enlarge;3000;0.25;3.0;15;;175;DO-41 (DO-204AL);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GP02-30/GP02-30.pdf;Datasheet/diodes/standard-recovery/GP02-30/GP02-30.zip
GP02-35;Enlarge;3500;0.25;3.0;15;;175;DO-41 (DO-204AL);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GP02-35/GP02-35.pdf;Datasheet/diodes/standard-recovery/GP02-35/GP02-35.zip
GP02-40;Enlarge;4000;0.25;3.0;15;;175;DO-41 (DO-204AL);Single;;No;image/diodes/88641.png;Datasheet/diodes/standard-recovery/GP02-40/GP02-40.pdf;Datasheet/diodes/standard-recovery/GP02-40/GP02-40.zip
GPP10A;Enlarge;50;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10A/GPP10A.pdf;None
GPP10B;Enlarge;100;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10B/GPP10B.pdf;None
GPP10D;Enlarge;200;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10D/GPP10D.pdf;None
GPP10G;Enlarge;400;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10G/GPP10G.pdf;None
GPP10J;Enlarge;600;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10J/GPP10J.pdf;None
GPP10K;Enlarge;800;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10K/GPP10K.pdf;None
GPP10M;Enlarge;1000;1;1.1;30;;150;DO-41 (DO-204AL);Single;;No;image/diodes/88642.png;Datasheet/diodes/standard-recovery/GPP10M/GPP10M.pdf;None
GPP20A;Enlarge;50;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20A/GPP20A.pdf;None
GPP20B;Enlarge;100;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20B/GPP20B.pdf;None
GPP20D;Enlarge;200;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20D/GPP20D.pdf;None
GPP20G;Enlarge;400;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20G/GPP20G.pdf;None
GPP20J;Enlarge;600;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20J/GPP20J.pdf;None
GPP20K;Enlarge;800;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20K/GPP20K.pdf;None
GPP20M;Enlarge;1000;2;1.1;70;;150;DO-15 (DO-204AC);Single;;No;image/diodes/88682.png;Datasheet/diodes/standard-recovery/GPP20M/GPP20M.pdf;None
MPG06A;Enlarge;50;1;1.1;40;;150;MPG06;Single die;;Yes;image/diodes/98651.png;Datasheet/diodes/standard-recovery/MPG06A/MPG06A.pdf;Datasheet/diodes/standard-recovery/MPG06A/MPG06A.zip
MPG06B;Enlarge;100;1;1.1;40;;150;MPG06;Single die;;Yes;image/diodes/87795.png;Datasheet/diodes/standard-recovery/MPG06B/MPG06B.pdf;Datasheet/diodes/standard-recovery/MPG06B/MPG06B.zip
MPG06D;Enlarge;200;1;1.1;40;;150;MPG06;Single die;;Yes;image/diodes/87795.png;Datasheet/diodes/standard-recovery/MPG06D/MPG06D.pdf;Datasheet/diodes/standard-recovery/MPG06D/MPG06D.zip
