Series;Product Image;Product Group;VRmax. / VRRM(V);IFmax.(mA);VFmax. at IF(mV at mA);AEC-Q101 Qualified;Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
BAS385;Enlarge;Small Signal Schottky Diode;30;200;800 at 100;No;MicroMELF;Single;image/diodes\85504.png;Datasheet\diodes\BAS385\BAS385.pdf;Datasheet\diodes\BAS385\BAS385.zip
BAS386;Enlarge;Small Signal Schottky Diode;50;200;900 at 100;No;MicroMELF;Single;image/diodes\85505.png;Datasheet\diodes\BAS386\BAS386.pdf;Datasheet\diodes\BAS386\BAS386.zip
BAS40-00 to BAS40-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Single;image/diodes\86400.png;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.pdf;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.zip
BAS40-00 to BAS40-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Dual serial;image/diodes\86400.png;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.pdf;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.zip
BAS40-00 to BAS40-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Common cathode;image/diodes\86400.png;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.pdf;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.zip
BAS40-00 to BAS40-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Common anode;image/diodes\86400.png;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.pdf;Datasheet\diodes\BAS40-00 to BAS40-06\BAS40-00 to BAS40-06.zip
BAS40-00-G to BAS40-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Single;image/diodes\86401.png;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.pdf;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.zip
BAS40-00-G to BAS40-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Dual serial;image/diodes\86401.png;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.pdf;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.zip
BAS40-00-G to BAS40-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Common cathode;image/diodes\86401.png;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.pdf;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.zip
BAS40-00-G to BAS40-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;40;200;380 at 50;Yes;SOT-23;Common anode;image/diodes\86401.png;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.pdf;Datasheet\diodes\BAS40-00-G to BAS40-06-G\BAS40-00-G to BAS40-06-G.zip
BAS40-02V;Enlarge;Small Signal Schottky Diode;40;120;1000 at 40;Yes;SOD-523;Single;image/diodes\85651.png;Datasheet\diodes\BAS40-02V\BAS40-02V.pdf;None
BAS40L;Enlarge;Small Signal Schottky Diode;40;200;400 at 40;Yes;DFN1006-2A;Single;image/diodes\86189.png;Datasheet\diodes\BAS40L\BAS40L.pdf;None
BAS40LTH;Enlarge;"Small Signal Schottky Diode with TJ max. = 175 &#176;C";40;200;400 at 40;Yes;DFN1006-2A;Single;image/diodes\86328.png;Datasheet\diodes\BAS40LTH\BAS40LTH.pdf;None
BAS581-02V;Enlarge;Small Signal Schottky Diode;40;30;370 at 1;Yes;SOD-523;Single;image/diodes\85516.png;Datasheet\diodes\BAS581-02V\BAS581-02V.pdf;None
BAS70-00 to BAS70-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Single;image/diodes\86402.png;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.pdf;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.zip
BAS70-00 to BAS70-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Dual serial;image/diodes\86402.png;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.pdf;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.zip
BAS70-00 to BAS70-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Common cathode;image/diodes\86402.png;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.pdf;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.zip
BAS70-00 to BAS70-06;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Common anode;image/diodes\86402.png;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.pdf;Datasheet\diodes\BAS70-00 to BAS70-06\BAS70-00 to BAS70-06.zip
BAS70-00-G to BAS70-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Single;image/diodes\86403.png;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.pdf;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.zip
BAS70-00-G to BAS70-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Dual serial;image/diodes\86403.png;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.pdf;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.zip
BAS70-00-G to BAS70-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Common cathode;image/diodes\86403.png;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.pdf;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.zip
BAS70-00-G to BAS70-06-G;Enlarge;Small Signal Schottky Diodes, Single and Dual;70;200;410 at 50;Yes;SOT-23;Common anode;image/diodes\86403.png;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.pdf;Datasheet\diodes\BAS70-00-G to BAS70-06-G\BAS70-00-G to BAS70-06-G.zip
BAS70-02V;Enlarge;Small Signal Schottky Diode;70;100;1000 at 15;Yes;SOD-523;Single;image/diodes\85652.png;Datasheet\diodes\BAS70-02V\BAS70-02V.pdf;None
BAS81, BAS82, BAS83;Enlarge;Small Signal Schottky Diodes;40;30;1000 at 15;No;MiniMELF (SOD-80);Single;image/diodes\85509.png;Datasheet\diodes\BAS81, BAS82, BAS83\BAS81, BAS82, BAS83.pdf;Datasheet\diodes\BAS81, BAS82, BAS83\BAS81, BAS82, BAS83.zip
BAS81, BAS82, BAS83;Enlarge;Small Signal Schottky Diodes;50;30;1000 at 15;No;MiniMELF (SOD-80);Single;image/diodes\85509.png;Datasheet\diodes\BAS81, BAS82, BAS83\BAS81, BAS82, BAS83.pdf;Datasheet\diodes\BAS81, BAS82, BAS83\BAS81, BAS82, BAS83.zip
BAS81, BAS82, BAS83;Enlarge;Small Signal Schottky Diodes;60;30;1000 at 15;No;MiniMELF (SOD-80);Single;image/diodes\85509.png;Datasheet\diodes\BAS81, BAS82, BAS83\BAS81, BAS82, BAS83.pdf;Datasheet\diodes\BAS81, BAS82, BAS83\BAS81, BAS82, BAS83.zip
BAS85;Enlarge;Small Signal Schottky Diode;30;200;800 at 100;No;MiniMELF (SOD-80);Single;image/diodes\85510.png;Datasheet\diodes\BAS85\BAS85.pdf;Datasheet\diodes\BAS85\BAS85.zip
BAS85-M;Enlarge;Small Signal Schottky Diode;30;200;800 at 100;No;MiniMELF (SOD-80);Single;image/diodes\83403.png;Datasheet\diodes\BAS85-M\BAS85-M.pdf;Datasheet\diodes\BAS85-M\BAS85-M.zip
BAS86;Enlarge;Small Signal Schottky Diode;;;;;;;image/diodes\85511.png;Datasheet\diodes\BAS86\BAS86.pdf;Datasheet\diodes\BAS86\BAS86.zip
