Part Number;Product Image;IF(AV)(A);VFat IF(V at A);IFSM(A);Rev. Voltage(V);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
2W005G;Enlarge;2;1.1;60;50;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W005G/2W005G.pdf;Datasheet/diodes/bridge/2W005G/2W005G.zip
2W01G;Enlarge;2;1.1;60;100;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W01G/2W01G.pdf;Datasheet/diodes/bridge/2W01G/2W01G.zip
2W02G;Enlarge;2;1.1;60;200;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W02G/2W02G.pdf;Datasheet/diodes/bridge/2W02G/2W02G.zip
2W04G;Enlarge;2;1.1;60;400;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W04G/2W04G.pdf;Datasheet/diodes/bridge/2W04G/2W04G.zip
2W06G;Enlarge;2;1.1;60;600;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W06G/2W06G.pdf;Datasheet/diodes/bridge/2W06G/2W06G.zip
2W08G;Enlarge;2;1.1;60;800;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W08G/2W08G.pdf;Datasheet/diodes/bridge/2W08G/2W08G.zip
2W10G;Enlarge;2;1.1;60;1000;150;WOG;Quad;image/diodes/88528.png;Datasheet/diodes/bridge/2W10G/2W10G.pdf;Datasheet/diodes/bridge/2W10G/2W10G.zip
B125C1000G;Enlarge;1;1.0;45;200;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B125C1000G/B125C1000G.pdf;None
B125C1000G;Enlarge;1;1.0;45;65;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B125C1000G/B125C1000G.pdf;None
B125C1000G;Enlarge;1;1.0;45;400;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B125C1000G/B125C1000G.pdf;None
B125C1000G;Enlarge;1;1.0;45;125;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B125C1000G/B125C1000G.pdf;None
B125C1000G;Enlarge;1;1.0;45;600;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B125C1000G/B125C1000G.pdf;None
B125C1500G;Enlarge;1.5;1.0;50;125;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B125C1500G/B125C1500G.pdf;None
B125C1500G;Enlarge;1.5;1.0;50;600;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B125C1500G/B125C1500G.pdf;None
B125C1500G;Enlarge;1.5;1.0;50;200;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B125C1500G/B125C1500G.pdf;None
B125C1500G;Enlarge;1.5;1.0;50;65;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B125C1500G/B125C1500G.pdf;None
