Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V at A);IFSM(A);IRM(mA);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;AEC-Q101Qualified;Image path;Datasheet part;3d model part
1N5817;Enlarge;20;1;see datasheet;25;;125;DO-41 (DO-204AL);Single;No;image/diodes\88525.png;Datasheet\diodes\1N5817\1N5817.pdf;Datasheet\diodes\1N5817\1N5817.zip
1N5818;Enlarge;30;1;see datasheet;25;;125;DO-41 (DO-204AL);Single;No;image/diodes\88525.png;Datasheet\diodes\1N5818\1N5818.pdf;Datasheet\diodes\1N5818\1N5818.zip
1N5819;Enlarge;40;1;see datasheet;25;;125;DO-41 (DO-204AL);Single;No;image/diodes\88525.png;Datasheet\diodes\1N5819\1N5819.pdf;Datasheet\diodes\1N5819\1N5819.zip
1N5820;Enlarge;20;3;see datasheet;80;;125;DO-201AD;Single;No;image/diodes\88526.png;Datasheet\diodes\1N5820\1N5820.pdf;Datasheet\diodes\1N5820\1N5820.zip
1N5821;Enlarge;30;3;see datasheet;80;;125;DO-201AD;Single;No;image/diodes\88526.png;Datasheet\diodes\1N5821\1N5821.pdf;Datasheet\diodes\1N5821\1N5821.zip
1N5822;Enlarge;40;3;see datasheet;80;;125;DO-201AD;Single;No;image/diodes\88526.png;Datasheet\diodes\1N5822\1N5822.pdf;Datasheet\diodes\1N5822\1N5822.zip
B120-E3;Enlarge;20;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\88946.png;Datasheet\diodes\B120-E3\B120-E3.pdf;Datasheet\diodes\B120-E3\B120-E3.zip
B120-M3;Enlarge;20;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\89926.png;Datasheet\diodes\B120-M3\B120-M3.pdf;Datasheet\diodes\B120-M3\B120-M3.zip
B130-E3;Enlarge;30;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\88946.png;Datasheet\diodes\B130-E3\B130-E3.pdf;Datasheet\diodes\B130-E3\B130-E3.zip
B130-M3;Enlarge;30;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\89926.png;Datasheet\diodes\B130-M3\B130-M3.pdf;Datasheet\diodes\B130-M3\B130-M3.zip
B140-E3;Enlarge;40;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\88946.png;Datasheet\diodes\B140-E3\B140-E3.pdf;Datasheet\diodes\B140-E3\B140-E3.zip
B140-M3;Enlarge;40;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\89926.png;Datasheet\diodes\B140-M3\B140-M3.pdf;Datasheet\diodes\B140-M3\B140-M3.zip
B150-E3;Enlarge;50;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\88946.png;Datasheet\diodes\B150-E3\B150-E3.pdf;Datasheet\diodes\B150-E3\B150-E3.zip
B150-M3;Enlarge;50;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\89926.png;Datasheet\diodes\B150-M3\B150-M3.pdf;Datasheet\diodes\B150-M3\B150-M3.zip
B160-E3;Enlarge;60;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\88946.png;Datasheet\diodes\B160-E3\B160-E3.pdf;Datasheet\diodes\B160-E3\B160-E3.zip
B160-M3;Enlarge;60;1;see datasheet;30;;see datasheet;SMA (DO-214AC);Single;No;image/diodes\89926.png;Datasheet\diodes\B160-M3\B160-M3.pdf;Datasheet\diodes\B160-M3\B160-M3.zip
