Series;Product Image;Type;Description;Technology;Resistance (min)(Ω);Resistance (max)(Ω);TCR Absolute(ppm/°C);TCR Tracking(ppm/°C);Absolute Tolerance(%);Ratio Tolerance(%);Power(W);Package Type;Case (EIA & Mil);Image path;Datasheet part;3d model part
PR100, PR135, PR182;Enlarge;Resistor Arrays;High Precision Thin Film Network, Surface-Mount Leadless Resistor Arrays;Thin Film;100;1 M;10;2;0.1;0.01;0.1;Arrays / leadless;n/a;image/networks-and-arrays/53039.png;Datasheet\/networks-and-arrays/PR100, PR135, PR182\PR100, PR135, PR182.pdf;Datasheet\/networks-and-arrays/PR100, PR135, PR182\PR100, PR135, PR182.zip
PRA HR (CNW HR);Enlarge;Resistor Arrays;ESCC 4001/025 Qualified High Precision Thin Film Chip Resistor Arrays;Thin Film;100;200 K;10;3;0.05;0.1;0.100;Arrays / leadless;100;image/networks-and-arrays/53043.png;Datasheet\/networks-and-arrays/PRA HR (CNW HR)\PRA HR (CNW HR).pdf;Datasheet\/networks-and-arrays/PRA HR (CNW HR)\PRA HR (CNW HR).zip
PRA074, PRA100, PRA135, PRA182 (CNW);Enlarge;Resistor Arrays;High-Precision Thin Film Chip Resistor Arrays, Sulfur Resistant;Thin Film;10;100 K;10;1;0.01;0.1;0.040;Arrays / leadless;074;image/networks-and-arrays/53033.png;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).pdf;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).zip
PRA074, PRA100, PRA135, PRA182 (CNW);Enlarge;Resistor Arrays;High-Precision Thin Film Chip Resistor Arrays, Sulfur Resistant;Thin Film;10;250 K;10;1;0.01;0.1;0.100;Arrays / leadless;100;image/networks-and-arrays/53033.png;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).pdf;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).zip
PRA074, PRA100, PRA135, PRA182 (CNW);Enlarge;Resistor Arrays;High-Precision Thin Film Chip Resistor Arrays, Sulfur Resistant;Thin Film;10;500 K;10;1;0.01;0.1;0.125;Arrays / leadless;135;image/networks-and-arrays/53033.png;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).pdf;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).zip
PRA074, PRA100, PRA135, PRA182 (CNW);Enlarge;Resistor Arrays;High-Precision Thin Film Chip Resistor Arrays, Sulfur Resistant;Thin Film;10;2 M;10;1;0.01;0.1;0.200;Arrays / leadless;182;image/networks-and-arrays/53033.png;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).pdf;Datasheet\/networks-and-arrays/PRA074, PRA100, PRA135, PRA182 (CNW)\PRA074, PRA100, PRA135, PRA182 (CNW).zip
PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT);Enlarge;Resistor Arrays;"High Temperature (230 &#176;C) High Precision Thin Film Wraparound Chip Resistor Arrays, Sulfur Resistant";Thin Film;10;250 K;15;2;0.05;0.1;0.010;Arrays / leadless;100;image/networks-and-arrays/53057.png;Datasheet\/networks-and-arrays/PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT)\PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT).pdf;Datasheet\/networks-and-arrays/PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT)\PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT).zip
PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT);Enlarge;Resistor Arrays;"High Temperature (230 &#176;C) High Precision Thin Film Wraparound Chip Resistor Arrays, Sulfur Resistant";Thin Film;10;2 M;15;2;0.05;0.1;0.020;Arrays / leadless;182;image/networks-and-arrays/53057.png;Datasheet\/networks-and-arrays/PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT)\PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT).pdf;Datasheet\/networks-and-arrays/PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT)\PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT).zip
PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT);Enlarge;Resistor Arrays;"High Temperature (230 &#176;C) High Precision Thin Film Wraparound Chip Resistor Arrays, Sulfur Resistant";Thin Film;10;500 K;15;2;0.05;0.1;0.0125;Arrays / leadless;135;image/networks-and-arrays/53057.png;Datasheet\/networks-and-arrays/PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT)\PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT).pdf;Datasheet\/networks-and-arrays/PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT)\PRAHT 100, PRAHT 135, PRAHT 182 (CNWHT).zip
QFN-;Enlarge;Resistor Networks;Quad Flat No Lead Molded Precision Thin Film Resistor, Surface Mount Network;Thin Film;100;500 K;25;5;0.1;0.05;0.1;Arrays / leadless;n/a;image/networks-and-arrays/60015.png;Datasheet\/networks-and-arrays/QFN-\QFN-.pdf;None
RCN;Enlarge;Resistor Networks;Wire Bondable Thin Film Filter Resistor Networks;Thin Film;25;50;100;n/a;0.01;n/a;0.05;Wirebondable;1210;image/networks-and-arrays/61013.png;Datasheet\/networks-and-arrays/RCN\RCN.pdf;None
RMK 33N;Enlarge;Resistor Networks;Wirebondable Dual Value Thin Film Chip Resistor Networks, Center Tap;Thin Film;1 K;500 K;5;1;0.01;0.1;0.050;Wirebondable;0303;image/networks-and-arrays/60068.png;Datasheet\/networks-and-arrays/RMK 33N\RMK 33N.pdf;Datasheet\/networks-and-arrays/RMK 33N\RMK 33N.zip
RMK 408N, 508N, 48N, 816N, 914N (CN);Enlarge;Resistor Networks;Wirebondable Thin Film Chip Resistor Networks;Thin Film;1 K;200 K;5;1;0.01;0.1;0.125;Wirebondable;0808;image/networks-and-arrays/60053.png;Datasheet\/networks-and-arrays/RMK 408N, 508N, 48N, 816N, 914N (CN)\RMK 408N, 508N, 48N, 816N, 914N (CN).pdf;Datasheet\/networks-and-arrays/RMK 408N, 508N, 48N, 816N, 914N (CN)\RMK 408N, 508N, 48N, 816N, 914N (CN).zip
RMK 408N, 508N, 48N, 816N, 914N (CN);Enlarge;Resistor Networks;Wirebondable Thin Film Chip Resistor Networks;Thin Film;1 K;200 K;5;1;0.01;0.1;0.250;Wirebondable;0610;image/networks-and-arrays/60053.png;Datasheet\/networks-and-arrays/RMK 408N, 508N, 48N, 816N, 914N (CN)\RMK 408N, 508N, 48N, 816N, 914N (CN).pdf;Datasheet\/networks-and-arrays/RMK 408N, 508N, 48N, 816N, 914N (CN)\RMK 408N, 508N, 48N, 816N, 914N (CN).zip
RMKD (CNP);Enlarge;Resistor Networks;Hermetic, Dual-In-Line Packaged Thin Film Resistor, Through Hole Networks;Thin Film;500;200 K;5;1;0.01;0.05;0.125;Hermetic;n/a;image/networks-and-arrays/60049.png;Datasheet\/networks-and-arrays/RMKD (CNP)\RMKD (CNP).pdf;Datasheet\/networks-and-arrays/RMKD (CNP)\RMKD (CNP).zip
RMKD (CNP);Enlarge;Resistor Networks;Hermetic, Dual-In-Line Packaged Thin Film Resistor, Through Hole Networks;Thin Film;500;200 K;5;1;0.01;0.05;0.250;Hermetic;n/a;image/networks-and-arrays/60049.png;Datasheet\/networks-and-arrays/RMKD (CNP)\RMKD (CNP).pdf;Datasheet\/networks-and-arrays/RMKD (CNP)\RMKD (CNP).zip
RMKHT (CNHT);Enlarge;Resistor Networks;"High Temperature (230 &#176;C) Wirebondable Thin Film Chip Resistors and Resistor Networks";Thin Film;100;500 K;15;15;0.02;0.05;0.10;Wirebondable;0303;image/networks-and-arrays/60075.png;Datasheet\/networks-and-arrays/RMKHT (CNHT)\RMKHT (CNHT).pdf;Datasheet\/networks-and-arrays/RMKHT (CNHT)\RMKHT (CNHT).zip
RMKMS (CNM);Enlarge;Resistor Networks;SMD Molded, 50 Mil Pitch, Dual-In-Line Thin Film Resistor Networks;Thin Film;500;200 K;10;5;0.05;0.1;0.050;SOIC (molded);08;image/networks-and-arrays/60004.png;Datasheet\/networks-and-arrays/RMKMS (CNM)\RMKMS (CNM).pdf;Datasheet\/networks-and-arrays/RMKMS (CNM)\RMKMS (CNM).zip
RSK 33N;Enlarge;Resistor Networks;Wirebondable Dual Value Thin Film Chip Resistor Networks, Center Tap;Thin Film;10;500 K;15;5;0.05;0.5;0.250;Wirebondable;0303;image/networks-and-arrays/60069.png;Datasheet\/networks-and-arrays/RSK 33N\RSK 33N.pdf;Datasheet\/networks-and-arrays/RSK 33N\RSK 33N.zip
