Part Number;Product Image;Package;Output Current IO(A);Operating Voltage Range Vcc(V);tPLH, tPHLmin.(µs);tPLH, tPHLmax.(µs);Pulse Width Distortion PWD(µs);Supply Current ICC max.(mA);Common Mode Rejection CMR min.(kV/µs);Operating Temperature Range(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
VOW3120;Enlarge;DIP-8;2.5;15 to 32;0.1;0.5;0.3;2.5;25.0;-40 to +100;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers\82442.png;Datasheet\optocouplers\VOW3120\VOW3120.pdf;Datasheet\optocouplers\VOW3120\VOW3120.zip
VOW3120;Enlarge;SMD-8;2.5;15 to 32;0.1;0.5;0.3;2.5;25.0;-40 to +100;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers\82442.png;Datasheet\optocouplers\VOW3120\VOW3120.pdf;Datasheet\optocouplers\VOW3120\VOW3120.zip
