Part Number;Product Image;Package;VCEO(V);CTR min1%;Forward Current IFmax.(mA);Operating Temperature max.(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
SFH619A;Enlarge;DIP-4;300;1000;50;-55 to +100;5000;UL, cUL,;image/optocouplers\83674.png;Datasheet\optocouplers\SFH619A\SFH619A.pdf;Datasheet\optocouplers\SFH619A\SFH619A.zip
SFH619A;Enlarge;SMD-4;300;1000;50;-55 to +100;5000;UL, cUL,;image/optocouplers\83674.png;Datasheet\optocouplers\SFH619A\SFH619A.pdf;Datasheet\optocouplers\SFH619A\SFH619A.zip
