Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V at A);IFSM(A);IRM(mA);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;AEC-Q101Qualified;Image path;Datasheet part;3d model part
VS-30CTQ...S-M3;Enlarge;80;2 x 15;0.67;850.0;7.0 at 125 °C;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96275.png;Datasheet\diodes\VS-30CTQ...S-M3\VS-30CTQ...S-M3.pdf;
VS-30CTQ...S-M3;Enlarge;35;2 x 15;0.56;1060.0;15 at 125 °C;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96275.png;Datasheet\diodes\VS-30CTQ...S-M3\VS-30CTQ...S-M3.pdf;
VS-30CTQ...S-M3;Enlarge;40;2 x 15;0.56;1060.0;15 at 125 °C;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96276.png;Datasheet\diodes\VS-30CTQ...S-M3\VS-30CTQ...S-M3.pdf;
VS-30CTQ...S-M3;Enlarge;45;2 x 15;0.56;1060.0;15 at 125 °C;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96276.png;Datasheet\diodes\VS-30CTQ...S-M3\VS-30CTQ...S-M3.pdf;
