Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;2.5;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16.0;50;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25.0;60;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4.0;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25.0;100;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4.0;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35.0;120;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;16.0;70;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;25;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
T50;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;70;7.3 x 4.3 x 3.1 (D);image/capacitors\40254.png;Datasheet\capacitors\T50\T50.pdf;Datasheet\capacitors\T50\T50.zip
