Part Number;Product Image;IF(AV)(A);VFat IF(V at A);IFSM(A);Rev. Voltage(V);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
W04G;Enlarge;1.5;1.0;50;400;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
W04G;Enlarge;1.5;1.0;50;1000;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
W04G;Enlarge;1.5;1.0;50;100;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
W04G;Enlarge;1.5;1.0;50;600;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
W04G;Enlarge;1.5;1.0;50;200;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
W04G;Enlarge;1.5;1.0;50;800;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
W04G;Enlarge;1.5;1.0;50;50;150;WOG;Quad;image/diodes\88769.png;Datasheet\diodes\W04G\W04G.pdf;Datasheet\diodes\W04G\W04G.zip
