Part Number;Product Image;Package;VCEO(V);CTR min.1%;CTR max.1%;Forward Current IFmax.(mA);Power DissipationmW(mW);Operating Temperature max.(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
SFH620AA, SFH620AGB;Enlarge;DIP-4;;50;600.0;± 60;150.0;-55 to +100;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83676.png;Datasheet\optocouplers\SFH620AA, SFH620AGB\SFH620AA, SFH620AGB.pdf;Datasheet\optocouplers\SFH620AA, SFH620AGB\SFH620AA, SFH620AGB.zip
SFH620AA, SFH620AGB;Enlarge;SMD-4;;50;600.0;± 60;150.0;-55 to +100;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83676.png;Datasheet\optocouplers\SFH620AA, SFH620AGB\SFH620AA, SFH620AGB.pdf;Datasheet\optocouplers\SFH620AA, SFH620AGB\SFH620AA, SFH620AGB.zip
