Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ X8R;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperature Applications Up to 150 °C;Surface Mount;50.0;1 nF;220 nF;X8R;image\capacitors\45006.png;Datasheet\capacitors\VJ X8R\VJ X8R.pdf;
VJ X8R;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperature Applications Up to 150 °C;Surface Mount;50.0;10 nF;220 nF;X8R;image\capacitors\45006.png;Datasheet\capacitors\VJ X8R\VJ X8R.pdf;
VJ X8R;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperature Applications Up to 150 °C;Surface Mount;100.0;470 pF;100 nF;X8R;image\capacitors\45006.png;Datasheet\capacitors\VJ X8R\VJ X8R.pdf;
VJ X8R;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperature Applications Up to 150 °C;Surface Mount;100.0;330 pF;6.8 nF;X8R;image\capacitors\45006.png;Datasheet\capacitors\VJ X8R\VJ X8R.pdf;
VJ X8R;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperature Applications Up to 150 °C;Surface Mount;100.0;470 pF;33 nF;X8R;image\capacitors\45006.png;Datasheet\capacitors\VJ X8R\VJ X8R.pdf;
