Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;50.0;100 pF;1.0 uF;X7R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;50.0;47 nF;10 uF;X5R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;50.0;220 nF;22 uF;X5R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;50.0;1.5  uF;47 uF;X5R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;50.0;1.5  uF;100 uF;X5R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;50.0;1.5  uF;220 uF;X5R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;0.5 pF;1 nF;C0G (NP0);image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;0.5 pF;3.3 nF;C0G (NP0);image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;0.5 pF;12 nF;C0G (NP0);image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;1.5 pF;39 nF;C0G (NP0);image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;100 pF;2.2 uF;X7R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;100 pF;10 uF;X7R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;150 pF;22 uF;X7R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
VJ....W1BC Basic Commodity Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications;Surface Mount;100.0;1 nF;47 uF;X7R;image\capacitors\28548.png;Datasheet\capacitors\VJ....W1BC Basic Commodity Series\VJ....W1BC Basic Commodity Series.pdf;
