Series;Product Image;Type;Technology;Description;Voltage Min.(V);Voltage Max.(V);Capacitance Min.;Capacitance Max.;Frequency Min. (Hz);Frequency Max. (Hz);Image path;Datasheet part;3d model part
Pha... Surge Suppressor Capacitors;Enlarge;1-phase or 3-phase units, capacitor banks 36 kV;All-film polypropylene / aluminum foil;Surge suppressor capacitors, indoor / outdoor;1000;36 000;0.1 µF;0.5 µF;50;60;image/capacitors13189.png;capacitors\Pha... Surge Suppressor Capacitors\Pha... Surge Suppressor Capacitors.pdf;None
Zoa… Surge Suppressor Capacitors;Enlarge;Zoaso;All-film polypropylene / aluminum foil, MKP;Zinc oxide RC-surge suppressor (ZORC) for HV-motor and transformers;1000;11 000;0.1 µF;0.6 µF;50;60;image/capacitors13192.png;capacitors\Zoa… Surge Suppressor Capacitors\Zoa… Surge Suppressor Capacitors.pdf;None
