Series;Product Image;Type;Technology;Description;Voltage Min.(V);Voltage Max.(V);Output Min. (kvar);Output Max. (kvar);Frequency Min. (Hz);Frequency Max. (Hz);Image path;Datasheet part;3d model part
Phao... Line Frequency Capacitors;Enlarge;Capacitors, induction heating;All-film polypropylene / aluminum foil;Line frequency capacitors, indoor;850;3000;25;800;50;60;image/capacitors13055.png;capacitors\Phao... Line Frequency Capacitors\Phao... Line Frequency Capacitors.pdf;None
Phawo...k.. Medium Frequency Capacitors;Enlarge;Capacitors, induction heating;All-film polypropylene / aluminum foil;Medium frequency capacitors, water cooled, indoor;200;3000;150;5000;75;8000;image/capacitors13056.png;capacitors\Phawo...k.. Medium Frequency Capacitors\Phawo...k.. Medium Frequency Capacitors.pdf;None
Phawo...kS.. Medium Frequency Capacitors;Enlarge;Capacitors, induction heating;All-film polypropylene / aluminum foil;Medium frequency capacitors, water cooled, indoor;200;3000;150;5000;75;10 000;image/capacitors13057.png;capacitors\Phawo...kS.. Medium Frequency Capacitors\Phawo...kS.. Medium Frequency Capacitors.pdf;None
Phawoc Medium Frequency Capacitors;Enlarge;Capacitors, induction heating;All-film polypropylene / aluminum foil;Medium frequency capacitors, water cooled, indoor;250;1000;100;2000;10 000;100 000;image/capacitors13059.png;capacitors\Phawoc Medium Frequency Capacitors\Phawoc Medium Frequency Capacitors.pdf;None
Phawoz Medium Frequency Capacitors;Enlarge;Capacitors, induction heating;All-film polypropylene / aluminum foil;Medium frequency capacitors, water cooled, indoor;250;2400;600;6000;1000;10 000;image/capacitors13058.png;capacitors\Phawoz Medium Frequency Capacitors\Phawoz Medium Frequency Capacitors.pdf;None
PhMKP... Line Frequency Capacitors;Enlarge;Capacitors, induction heating;Self-healing / metallized polypropylene film;Line frequency capacitors, indoor;200;900;10;675;50;60;image/capacitors13053.png;capacitors\PhMKP... Line Frequency Capacitors\PhMKP... Line Frequency Capacitors.pdf;None
