Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;2200;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;2200;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;2200;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;2000;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;2000;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;2000;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1600;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1600;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1600;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1400;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1400;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1400;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1200;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1200;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1200;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1000;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1000;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;1000;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;800;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;800;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;800;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;400;2.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;400;1.5;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
VS-SD603C..C Series;Enlarge;600 at 55;8320;8715;400;1.0;-40 to +125;2.97;B-43;Single;image/diodes\93178.png;Datasheet\diodes\VS-SD603C..C Series\VS-SD603C..C Series.pdf;
