Series;Product Image;IT(AV)(A);TC(°C);IT(RMS)(A);VDRM/VRRM(V);ITSMat 50 Hz(A);ITSMat 60 Hz(A);VTMat ITM(V at A);TJ(°C);dV/dt(V/µs);Package;Circuit Configuration;Image path;Datasheet part;3d model part
VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series;Enlarge;70.0;109.0;75.0;1200;930.0;;1.4 at 100;-40 to 150;500.0;Super TO-247;Single SCR;image/thyristors/97191.png;Datasheet/thyristors/phase-control-discrete/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series.pdf;Datasheet/thyristors/phase-control-discrete/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series.zip
VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series;Enlarge;70.0;109.0;75.0;1600;930.0;;1.4 at 100;-40 to 150;500.0;Super TO-247;Single SCR;image/thyristors/97191.png;Datasheet/thyristors/phase-control-discrete/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series.pdf;Datasheet/thyristors/phase-control-discrete/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series/VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series.zip
