Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;55.0;85.0;1600;1700;390;410;2.68 at 150;125;1.07;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;110.0;85.0;1000;1100;1130;1180;1.57 at 150;125;0.7;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;90.0;85.0;1600;1700;950;1000;1.65 at 150;125;0.86;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;90.0;85.0;1200;1300;950;1000;1.65 at 150;125;0.86;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;55.0;85.0;1200;1300;390;410;2.68 at 150;125;1.07;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;110.0;85.0;1600;1700;1130;1180;1.57 at 150;125;0.7;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;90.0;85.0;800;900;950;1000;1.65 at 150;125;0.86;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;55.0;85.0;800;900;390;410;2.68 at 150;125;1.07;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;110.0;85.0;1200;1300;1130;1180;1.57 at 150;125;0.7;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;110.0;85.0;800;900;1130;1180;1.57 at 150;125;0.7;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;90.0;85.0;1400;1500;950;1000;1.65 at 150;125;0.86;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;55.0;85.0;1400;1500;390;410;2.68 at 150;125;1.07;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;55.0;85.0;1000;1100;390;410;2.68 at 150;125;1.07;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;90.0;85.0;1000;1100;950;1000;1.65 at 150;125;0.86;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series;Enlarge;110.0;85.0;1400;1500;1130;1180;1.57 at 150;125;0.7;MTK;Three phase bridge;image/modules\94353.png;Datasheet\modules\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series\VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series.pdf;
