Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
AST;Enlarge;1;168500;;5.0;225;6157;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;168500;;5.0;225;6157;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;18000;;10.0;20;600;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;18000;;10.0;20;600;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;18000;;5.0;20;600;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;18000;;5.0;20;600;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;192000;;10.0;130;4996;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;192000;;10.0;130;4996;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;192000;;5.0;130;4996;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;192000;;5.0;130;4996;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;199000;;10.0;175;5901;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;199000;;10.0;175;5901;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;199000;;5.0;175;5901;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;199000;;5.0;175;5901;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;24000;;10.0;30;849;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;24000;;10.0;30;849;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;24000;;5.0;30;849;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;24000;;5.0;30;849;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;26000;;10.0;25;806;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;26000;;10.0;25;806;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;26000;;5.0;25;806;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;26000;;5.0;25;806;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;27000;;10.0;50;1162;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;27000;;10.0;50;1162;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;27000;;5.0;50;1162;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;27000;;5.0;50;1162;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;10.0;15;671;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;10.0;15;671;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;10.0;30;949;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;10.0;30;949;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;5.0;15;671;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;5.0;15;671;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;5.0;30;949;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;30000;;5.0;30;949;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
