Series;Product Image;Type;Technology;Description;Mounting;Case Size;Working Voltage(V);Capacitance (min.);Capacitance (max.);Image path;Datasheet part;3d model part
CBB, CBC;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Binary MOS Capacitors;Wire Bondable;402;75.0;1 pF;16 pF;image/capacitors\61042.png;Datasheet\capacitors\CBB, CBC\CBB, CBC.pdf;
CBB, CBC;Enlarge;Capacitors, Fixed;Thin Film;Thin Film Binary MOS Capacitors;Wire Bondable;404;75.0;3 pF;48 pF;image/capacitors\61042.png;Datasheet\capacitors\CBB, CBC\CBB, CBC.pdf;
